Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,Cash,Total
2015-Jul-31,0,0,0,0,0,0,0,0,0,1000,1000
2015-Aug-03,0,0,0,0,0,0,0,76.53,0,923.33,999.86
2015-Aug-04,0,0,0,0,0,0,0,76.49,0,923.33,999.82
2015-Aug-05,0,0,0,0,0,0,0,77.13,0,923.33,1000.46
2015-Aug-06,0,0,0,0,0,0,0,75.45,0,923.33,998.78
2015-Aug-07,0,0,0,0,0,0,0,75.32,0,923.33,998.65
2015-Aug-10,0,0,0,0,0,0,0,75.92,0,923.33,999.25
2015-Aug-11,0,0,0,0,0,0,0,75.29,0,923.33,998.62
2015-Aug-12,0,0,0,0,0,0,0,75.34,0,923.33,998.67
2015-Aug-13,0,0,0,0,0,0,0,75.17,0,923.33,998.5
2015-Aug-14,0,0,0,0,0,0,0,75.38,0,923.33,998.71
2015-Aug-17,0,0,0,0,0,0,0,76.14,0,923.33,999.47
2015-Aug-18,0,0,0,0,0,0,0,76.03,0,923.33,999.36
2015-Aug-19,0,0,0,0,0,0,0,75.72,0,923.33,999.05
2015-Aug-20,0,0,0,0,0,0,0,73.96,0,923.33,997.29
2015-Aug-21,0,0,0,0,0,0,0,71.71,0,923.33,995.04
2015-Aug-24,0,0,0,0,0,0,0,68.65,0,923.33,991.98
2015-Aug-25,0,0,0,0,0,0,0,67.96,0,923.33,991.29
2015-Aug-26,0,0,0,0,0,0,0,70.83,0,923.33,994.16
2015-Aug-27,0,0,0,0,0,0,0,72.21,0,923.33,995.54
2015-Aug-28,0,0,0,0,0,0,0,71.8,0,923.33,995.13
2015-Aug-31,0,0,0,0,0,0,0,70.49,0,923.33,993.82
2015-Sep-01,0,0,0,0,0,0,0,68.64,0,923.33,991.97
2015-Sep-02,0,0,0,0,0,0,0,70.05,0,923.33,993.38
2015-Sep-03,0,0,0,0,0,0,0,69.55,0,923.33,992.88
2015-Sep-04,0,0,0,0,0,0,0,68.68,0,923.33,992.01
2015-Sep-08,0,0,0,0,0,0,0,70.6,0,923.33,993.93
2015-Sep-09,0,0,0,0,0,0,0,69.51,0,923.33,992.84
2015-Sep-10,0,0,0,0,0,0,0,70.18,0,923.33,993.51
2015-Sep-11,0,0,0,0,0,0,0,70.63,0,923.33,993.96
2015-Sep-14,0,0,0,0,0,0,0,70.41,0,923.33,993.74
2015-Sep-15,0,0,0,0,0,0,0,71.42,0,923.33,994.75
2015-Sep-16,0,0,0,0,0,0,0,71.62,0,923.33,994.95
2015-Sep-17,0,0,0,0,0,0,0,72.27,0,923.33,995.6
2015-Sep-18,0,0,0,0,0,0,0,70.91,0,923.33,994.24
2015-Sep-21,0,0,0,0,0,0,0,69.97,0,923.33,993.3
2015-Sep-22,0,0,0,0,0,0,0,69.54,0,923.33,992.87
2015-Sep-23,0,0,0,0,0,0,0,69.47,0,923.33,992.8
2015-Sep-24,0,0,0,0,0,0,0,68.76,0,923.33,992.09
2015-Sep-25,0,0,0,0,0,0,0,66.88,0,923.33,990.21
2015-Sep-28,0,0,0,0,0,0,0,64.29,0,923.33,987.62
2015-Sep-29,0,0,0,0,0,0,0,64.88,0,923.33,988.21
2015-Sep-30,0,0,0,0,0,0,0,66.23,0,923.33,989.56
2015-Oct-01,0,0,0,0,0,0,0,0,74.81,915.42,990.23
2015-Oct-02,0,0,0,0,0,0,0,0,75.88,915.42,991.3
2015-Oct-05,0,0,0,0,0,0,0,0,77,915.42,992.42
2015-Oct-06,0,0,0,0,0,0,0,0,76.43,915.42,991.85
2015-Oct-07,0,0,0,0,0,0,0,0,76.69,915.42,992.11
2015-Oct-08,0,0,0,0,0,0,0,0,77.63,915.42,993.05
2015-Oct-09,0,0,0,0,0,0,0,0,77.72,915.42,993.14
2015-Oct-12,0,0,0,0,0,0,0,0,78.09,915.42,993.51
2015-Oct-13,0,0,0,0,0,0,0,0,77.67,915.42,993.09
2015-Oct-14,0,0,0,0,0,0,0,0,76.88,915.42,992.3
2015-Oct-15,0,0,0,0,0,0,0,0,77.88,915.42,993.3
2015-Oct-16,0,0,0,0,0,0,0,0,78.29,915.42,993.71
2015-Oct-19,0,0,0,0,0,0,0,0,78.66,915.42,994.08
2015-Oct-20,0,0,0,0,0,0,0,0,78.56,915.42,993.98
