Date,Open,High,Low,Close,Volume,Adj Close
2007-10-19,15.73,15.73,15.73,15.73,000,15.73
2007-10-18,16.23,16.23,16.23,16.23,000,16.23
2007-10-17,16.25,16.25,16.25,16.25,000,16.25
2007-10-16,16.21,16.21,16.21,16.21,000,16.21
2007-10-15,16.29,16.29,16.29,16.29,000,16.29
2007-10-12,16.53,16.53,16.53,16.53,000,16.53
2007-10-11,16.39,16.39,16.39,16.39,000,16.39
2007-10-10,16.60,16.60,16.60,16.60,000,16.60
2007-10-09,16.62,16.62,16.62,16.62,000,16.62
2007-10-08,16.51,16.51,16.51,16.51,000,16.51
2007-10-05,16.60,16.60,16.60,16.60,000,16.60
2007-10-04,16.31,16.31,16.31,16.31,000,16.31
2007-10-03,16.24,16.24,16.24,16.24,000,16.24
2007-10-02,16.36,16.36,16.36,16.36,000,16.36
2007-10-01,16.25,16.25,16.25,16.25,000,16.25
2007-09-28,15.89,15.89,15.89,15.89,000,15.89
2007-09-27,16.06,16.06,16.06,16.06,000,16.06
2007-09-26,15.97,15.97,15.97,15.97,000,15.97
2007-09-25,15.86,15.86,15.86,15.86,000,15.86
2007-09-24,15.95,15.95,15.95,15.95,000,15.95
2007-09-21,16.09,16.09,16.09,16.09,000,16.09
2007-09-20,16.04,16.04,16.04,16.04,000,16.04
2007-09-19,16.14,16.14,16.14,16.14,000,16.14
2007-09-18,15.92,15.92,15.92,15.92,000,15.92
2007-09-17,15.36,15.36,15.36,15.36,000,15.36
2007-09-14,15.50,15.50,15.50,15.50,000,15.50
2007-09-13,15.45,15.45,15.45,15.45,000,15.45
2007-09-12,15.43,15.43,15.43,15.43,000,15.43
2007-09-11,15.52,15.52,15.52,15.52,000,15.52
2007-09-10,15.28,15.28,15.28,15.28,000,15.28
2007-09-07,15.43,15.43,15.43,15.43,000,15.39
2007-09-06,15.75,15.75,15.75,15.75,000,15.71
2007-09-05,15.68,15.68,15.68,15.68,000,15.64
2007-09-04,15.85,15.85,15.85,15.85,000,15.81
2007-08-31,15.70,15.70,15.70,15.70,000,15.66
2007-08-30,15.55,15.55,15.55,15.55,000,15.51
2007-08-29,15.62,15.62,15.62,15.62,000,15.58
2007-08-28,15.28,15.28,15.28,15.28,000,15.24
2007-08-27,15.66,15.66,15.66,15.66,000,15.62
2007-08-24,15.78,15.78,15.78,15.78,000,15.74
2007-08-23,15.58,15.58,15.58,15.58,000,15.54
2007-08-22,15.74,15.74,15.74,15.74,000,15.70
2007-08-21,15.55,15.55,15.55,15.55,000,15.51
2007-08-20,15.52,15.52,15.52,15.52,000,15.48
2007-08-17,15.53,15.53,15.53,15.53,000,15.49
