Date,Open,High,Low,Close,Volume,Adj Close
2007-09-21,177.09,178.31,176.36,177.21,000,177.21
2007-09-20,175.49,177.73,175.41,177.18,000,177.18
2007-09-19,175.32,176.23,174.76,175.80,000,175.80
2007-09-18,174.63,175.38,172.98,175.11,000,175.11
2007-09-17,172.96,174.59,172.90,174.54,000,174.54
2007-09-14,171.94,173.51,171.83,172.32,000,172.32
2007-09-13,171.92,172.53,170.96,171.74,000,171.74
2007-09-12,170.66,172.60,170.55,172.48,000,172.48
2007-09-11,168.83,170.35,168.51,170.24,000,170.24
2007-09-10,166.89,168.78,166.83,168.60,000,168.60
2007-09-07,166.77,167.44,165.75,167.12,000,167.12
2007-09-06,166.80,167.91,166.35,166.85,000,166.85
2007-09-05,167.45,167.61,166.21,166.91,000,166.91
2007-09-04,165.11,167.12,164.67,167.04,000,167.04
2007-08-31,166.68,167.32,165.39,165.57,000,165.57
2007-08-30,164.76,165.79,164.52,165.10,000,165.10
2007-08-29,163.62,164.61,163.22,164.43,000,164.43
2007-08-28,164.08,164.18,162.86,163.54,000,163.54
2007-08-27,163.63,164.17,162.66,163.99,000,163.99
2007-08-24,162.87,164.83,162.74,164.41,000,164.41
2007-08-23,163.28,163.99,162.49,163.14,000,163.14
2007-08-22,162.15,162.34,161.24,161.95,000,161.95
2007-08-21,161.66,162.30,160.67,161.06,000,161.06
2007-08-20,162.84,164.00,161.20,161.70,000,161.70
2007-08-17,162.60,164.37,162.60,164.21,000,164.21
2007-08-16,164.36,164.97,160.16,161.68,000,161.68
2007-08-15,167.95,168.80,166.72,167.33,000,167.33
2007-08-14,168.39,168.57,166.87,167.80,000,167.80
2007-08-13,168.92,169.84,167.84,168.14,000,168.14
2007-08-10,166.15,168.07,165.81,167.60,000,167.60
2007-08-09,167.55,168.21,166.69,167.52,000,167.52
2007-08-08,167.47,168.94,167.29,168.27,000,168.27
2007-08-07,168.12,168.29,167.38,167.84,000,167.84
2007-08-06,168.23,168.54,167.05,167.52,000,167.52
2007-08-03,170.77,172.07,169.37,169.60,000,169.60
2007-08-02,171.24,171.65,170.14,170.39,000,170.39
2007-08-01,171.95,172.87,170.41,170.82,000,170.82
2007-07-31,172.75,173.05,171.48,172.45,000,172.45
2007-07-30,170.62,171.66,170.47,171.46,000,171.46
2007-07-27,168.54,170.59,168.06,170.30,000,170.30
2007-07-26,170.49,171.22,168.35,168.74,000,168.74
2007-07-25,169.03,169.58,168.32,169.58,000,169.58
2007-07-24,170.16,170.23,168.96,169.46,000,169.46
2007-07-23,172.08,172.22,169.97,170.20,000,170.20
2007-07-20,174.62,175.18,173.08,173.48,000,173.48
2007-07-19,173.45,174.31,173.25,174.26,000,174.26
2007-07-18,170.09,172.88,169.96,172.81,000,172.81
2007-07-17,171.37,171.89,169.68,169.80,000,169.80
2007-07-16,172.92,172.94,171.03,171.10,000,171.10
2007-07-13,173.94,174.69,173.43,174.54,000,174.54
2007-07-12,173.88,174.32,172.62,173.51,000,173.51
2007-07-11,173.87,174.08,173.26,173.29,000,173.29
2007-07-10,171.74,173.38,171.53,173.30,000,173.30
2007-07-09,171.57,172.48,171.53,171.74,000,171.74
2007-07-06,171.13,171.70,170.86,171.63,000,171.63
2007-07-05,170.96,171.40,169.86,170.84,000,170.84
2007-07-03,170.43,170.50,169.52,170.10,000,170.10
2007-07-02,170.25,170.50,168.74,170.48,000,170.48
2007-06-29,169.51,171.15,169.19,169.67,000,169.67
2007-06-28,169.64,170.18,168.32,168.61,000,168.61
2007-06-27,167.72,169.17,167.43,168.95,000,168.95
2007-06-26,169.78,169.81,168.45,168.52,000,168.52
2007-06-25,169.20,170.65,168.91,170.25,000,170.25
2007-06-22,172.05,172.44,170.40,170.89,000,170.89
2007-06-21,173.93,174.37,172.00,172.40,000,172.40
2007-06-20,173.82,176.38,172.95,173.57,000,173.57
2007-06-19,175.14,175.16,173.57,173.57,000,173.57
2007-06-18,176.58,177.01,175.69,176.10,000,176.10
2007-06-15,174.40,176.71,174.31,176.48,000,176.48
2007-06-14,172.73,175.02,172.69,174.80,000,174.80
2007-06-13,170.44,172.40,170.21,172.17,000,172.17
2007-06-12,171.33,171.45,169.41,171.29,000,171.29
2007-06-11,171.16,172.67,170.55,172.27,000,172.27
2007-06-08,171.55,171.59,169.67,169.82,000,169.82
2007-06-07,173.42,177.10,173.02,173.07,000,173.07
2007-06-06,174.30,174.68,172.96,173.74,000,173.74
2007-06-05,175.39,176.36,174.16,174.81,000,174.81
2007-06-04,174.04,176.17,174.02,175.56,000,175.56
2007-06-01,172.83,174.33,172.64,174.03,000,174.03
2007-05-31,172.18,172.91,171.49,172.72,000,172.72
2007-05-30,169.91,171.59,169.90,171.44,000,171.44
2007-05-29,171.47,171.59,169.60,170.08,000,170.08
2007-05-25,171.81,172.59,170.97,172.37,000,172.37
2007-05-24,171.77,172.40,170.24,170.47,000,170.47
2007-05-23,171.98,172.30,171.20,171.58,000,171.58
2007-05-22,174.52,174.66,171.73,171.88,000,171.88
2007-05-21,173.70,175.02,172.92,174.82,000,174.82
2007-05-18,173.74,174.44,173.06,173.27,000,173.27
2007-05-17,172.02,173.49,171.40,173.47,000,173.47
2007-05-16,172.51,172.93,171.81,172.81,000,172.81
2007-05-15,171.52,173.47,171.37,173.23,000,173.23
2007-05-14,173.62,173.82,172.21,172.29,000,172.29
2007-05-11,171.23,173.54,171.18,173.44,000,173.44
2007-05-10,171.96,172.07,170.74,171.10,000,171.10
2007-05-09,172.38,172.41,171.01,171.77,000,171.77
2007-05-08,171.89,172.44,171.32,172.01,000,172.01
2007-05-07,174.02,174.03,172.48,172.85,000,172.85
2007-05-04,174.11,175.30,173.63,174.17,000,174.17
2007-05-03,172.62,174.08,171.90,173.75,000,173.75
2007-05-02,172.90,173.30,171.88,172.41,000,172.41
2007-05-01,172.90,173.81,172.49,173.10,000,173.10
2007-04-30,173.33,174.45,172.76,173.21,000,173.21
2007-04-27,171.55,173.80,171.22,173.56,000,173.56
2007-04-26,173.31,174.19,171.45,171.72,000,171.72
2007-04-25,172.35,174.13,172.06,173.85,000,173.85
2007-04-24,173.55,173.77,171.14,171.69,000,171.69
2007-04-23,171.77,173.56,171.77,173.49,000,173.49
2007-04-20,172.27,172.31,171.66,172.30,000,172.30
2007-04-19,172.06,172.19,170.51,171.61,000,171.61
2007-04-18,171.56,172.24,170.97,171.88,000,171.88
2007-04-17,172.80,173.53,172.12,172.12,000,172.12
2007-04-16,174.51,174.51,172.69,172.73,000,172.73
2007-04-13,174.53,175.19,174.03,174.35,000,174.35
2007-04-12,174.02,174.29,172.86,173.92,000,173.92
2007-04-11,174.89,174.98,173.51,173.86,000,173.86
2007-04-10,173.19,174.18,173.19,173.88,000,173.88
2007-04-09,174.40,175.11,172.37,172.42,000,172.42
2007-04-05,172.73,173.83,172.61,173.48,000,173.48
2007-04-04,171.94,173.21,170.99,172.90,000,172.90
2007-04-03,171.67,172.02,170.55,170.74,000,170.74
2007-04-02,171.29,172.33,169.77,171.47,000,171.47
2007-03-30,173.43,173.45,171.17,171.96,000,171.96
2007-03-29,170.79,172.68,170.51,172.33,000,172.33
2007-03-28,171.54,171.97,170.54,170.84,000,170.84
2007-03-27,169.12,169.77,168.91,169.62,000,169.62
2007-03-26,169.29,170.16,168.90,169.46,000,169.46
2007-03-23,169.71,170.42,168.96,168.98,000,168.98
2007-03-22,168.39,169.82,168.10,169.71,000,169.71
2007-03-21,166.94,167.60,166.51,167.18,000,167.18
2007-03-20,166.60,170.59,165.52,166.62,000,166.62
2007-03-19,166.38,166.98,166.20,166.57,000,166.57
2007-03-16,166.52,167.75,166.09,166.73,000,166.73
2007-03-15,167.69,167.93,166.43,166.57,000,166.57
2007-03-14,165.51,166.36,164.81,166.21,000,166.21
2007-03-13,167.35,168.44,165.91,166.12,000,166.12
2007-03-12,167.43,167.96,166.80,167.24,000,167.24
2007-03-09,169.57,169.63,167.74,167.84,000,167.84
2007-03-08,169.71,170.32,169.21,169.67,000,169.67
2007-03-07,168.04,169.46,167.78,169.20,000,169.20
2007-03-06,167.32,167.56,166.31,167.47,000,167.47
2007-03-05,165.75,166.58,165.05,165.93,000,165.93
2007-03-02,168.87,169.62,167.91,168.08,000,168.08
2007-03-01,171.18,171.19,168.82,169.76,000,169.76
2007-02-28,170.45,171.24,169.59,171.01,000,171.01
2007-02-27,171.68,173.44,171.00,171.98,000,171.98
2007-02-26,174.21,174.62,172.97,173.50,000,173.50
