Date,EAFE Standard Core
31-Dec-1969,100.00
30-Jan-1970,98.62
27-Feb-1970,96.10
31-Mar-1970,97.34
30-Apr-1970,88.97
29-May-1970,84.28
30-Jun-1970,85.85
31-Jul-1970,89.00
31-Aug-1970,89.10
30-Sep-1970,89.49
30-Oct-1970,88.45
30-Nov-1970,84.37
31-Dec-1970,85.87
29-Jan-1971,89.07
26-Feb-1971,89.58
31-Mar-1971,93.17
30-Apr-1971,96.48
31-May-1971,98.00
30-Jun-1971,100.03
30-Jul-1971,103.99
31-Aug-1971,102.23
30-Sep-1971,100.39
29-Oct-1971,96.91
30-Nov-1971,99.79
31-Dec-1971,108.32
31-Jan-1972,114.28
29-Feb-1972,121.44
31-Mar-1972,125.09
28-Apr-1972,127.74
31-May-1972,131.54
30-Jun-1972,127.71
31-Jul-1972,134.26
31-Aug-1972,135.43
29-Sep-1972,130.68
31-Oct-1972,131.73
30-Nov-1972,140.06
29-Dec-1972,144.37
31-Jan-1973,146.52
28-Feb-1973,158.27
30-Mar-1973,158.90
30-Apr-1973,149.63
31-May-1973,152.89
29-Jun-1973,156.28
31-Jul-1973,153.97
31-Aug-1973,145.76
28-Sep-1973,144.40
31-Oct-1973,147.13
30-Nov-1973,125.60
31-Dec-1973,120.09
31-Jan-1974,120.55
28-Feb-1974,124.18
29-Mar-1974,120.59
30-Apr-1974,123.44
31-May-1974,118.25
28-Jun-1974,112.52
31-Jul-1974,106.44
30-Aug-1974,95.11
30-Sep-1974,87.84
31-Oct-1974,88.24
29-Nov-1974,90.67
31-Dec-1974,89.35
31-Jan-1975,104.90
28-Feb-1975,118.32
31-Mar-1975,116.63
30-Apr-1975,121.73
30-May-1975,120.39
30-Jun-1975,115.29
31-Jul-1975,110.15
29-Aug-1975,109.60
30-Sep-1975,104.23
31-Oct-1975,112.84
28-Nov-1975,115.14
31-Dec-1975,117.24
30-Jan-1976,123.04
27-Feb-1976,121.72
31-Mar-1976,119.29
30-Apr-1976,118.37
31-May-1976,114.80
30-Jun-1976,116.35
30-Jul-1976,114.62
31-Aug-1976,114.31
30-Sep-1976,111.96
29-Oct-1976,104.44
30-Nov-1976,105.34
31-Dec-1976,116.81
31-Jan-1977,115.74
28-Feb-1977,117.90
31-Mar-1977,117.88
29-Apr-1977,120.93
31-May-1977,120.03
30-Jun-1977,122.31
29-Jul-1977,120.07
31-Aug-1977,124.96
30-Sep-1977,128.27
31-Oct-1977,131.05
30-Nov-1977,129.51
30-Dec-1977,133.88
31-Jan-1978,135.15
28-Feb-1978,136.25
31-Mar-1978,145.72
28-Apr-1978,144.20
31-May-1978,146.68
30-Jun-1978,152.82
31-Jul-1978,165.63
31-Aug-1978,168.49
29-Sep-1978,173.01
31-Oct-1978,182.42
30-Nov-1978,164.95
29-Dec-1978,172.59
31-Jan-1979,173.11
28-Feb-1979,171.80
30-Mar-1979,175.09
30-Apr-1979,173.86
31-May-1979,169.71
29-Jun-1979,172.17
31-Jul-1979,173.61
31-Aug-1979,177.22
28-Sep-1979,184.39
31-Oct-1979,169.09
30-Nov-1979,170.59
31-Dec-1979,175.72
31-Jan-1980,183.58
29-Feb-1980,182.17
31-Mar-1980,162.17
30-Apr-1980,176.81
30-May-1980,184.34
30-Jun-1980,195.38
31-Jul-1980,193.69
29-Aug-1980,199.67
30-Sep-1980,205.89
31-Oct-1980,213.83
28-Nov-1980,208.80
31-Dec-1980,209.13
30-Jan-1981,205.56
27-Feb-1981,202.17
31-Mar-1981,208.78
30-Apr-1981,213.77
29-May-1981,204.12
30-Jun-1981,204.95
31-Jul-1981,196.05
31-Aug-1981,200.07
30-Sep-1981,179.57
30-Oct-1981,181.92
30-Nov-1981,201.49
31-Dec-1981,198.99
29-Jan-1982,197.04
26-Feb-1982,183.92
31-Mar-1982,174.44
30-Apr-1982,185.16
31-May-1982,182.17
30-Jun-1982,167.97
30-Jul-1982,165.48
31-Aug-1982,165.04
30-Sep-1982,163.47
29-Oct-1982,163.65
30-Nov-1982,176.16
31-Dec-1982,189.78
31-Jan-1983,187.65
28-Feb-1983,192.35
31-Mar-1983,199.34
29-Apr-1983,210.22
31-May-1983,208.69
30-Jun-1983,212.96
29-Jul-1983,212.98
31-Aug-1983,209.11
30-Sep-1983,216.76
31-Oct-1983,216.10
30-Nov-1983,220.76
30-Dec-1983,229.47
31-Jan-1984,239.26
29-Feb-1984,240.95
30-Mar-1984,263.09
30-Apr-1984,258.24
31-May-1984,231.54
29-Jun-1984,230.79
31-Jul-1984,215.55
31-Aug-1984,233.36
28-Sep-1984,230.86
31-Oct-1984,236.20
30-Nov-1984,236.66
31-Dec-1984,240.99
31-Jan-1985,245.97
28-Feb-1985,244.10
29-Mar-1985,262.58
30-Apr-1985,261.21
31-May-1985,271.83
28-Jun-1985,278.33
31-Jul-1985,292.18
30-Aug-1985,301.04
30-Sep-1985,318.11
31-Oct-1985,339.19
29-Nov-1985,352.53
31-Dec-1985,368.64
31-Jan-1986,377.29
28-Feb-1986,418.45
31-Mar-1986,476.65
30-Apr-1986,507.17
30-May-1986,483.95
30-Jun-1986,516.25
31-Jul-1986,547.37
29-Aug-1986,600.59
30-Sep-1986,593.68
31-Oct-1986,553.32
28-Nov-1986,584.56
31-Dec-1986,614.89
30-Jan-1987,679.52
27-Feb-1987,699.19
31-Mar-1987,755.78
30-Apr-1987,834.98
29-May-1987,834.24
30-Jun-1987,806.92
31-Jul-1987,804.78
31-Aug-1987,864.37
30-Sep-1987,850.02
30-Oct-1987,730.12
30-Nov-1987,736.46
31-Dec-1987,757.45
29-Jan-1988,770.13
29-Feb-1988,820.64
31-Mar-1988,870.17
29-Apr-1988,881.86
31-May-1988,852.69
30-Jun-1988,829.33
29-Jul-1988,854.47
31-Aug-1988,798.04
30-Sep-1988,832.02
31-Oct-1988,902.29
30-Nov-1988,955.06
30-Dec-1988,959.40
31-Jan-1989,975.35
28-Feb-1989,979.41
31-Mar-1989,959.23
28-Apr-1989,967.15
31-May-1989,913.60
30-Jun-1989,897.30
31-Jul-1989,1008.99
31-Aug-1989,962.66
29-Sep-1989,1005.50
31-Oct-1989,964.11
30-Nov-1989,1011.55
29-Dec-1989,1047.86
31-Jan-1990,1007.80
28-Feb-1990,936.39
30-Mar-1990,837.74
30-Apr-1990,830.00
31-May-1990,923.60
29-Jun-1990,914.30
31-Jul-1990,925.96
31-Aug-1990,834.82
28-Sep-1990,717.24
31-Oct-1990,827.71
30-Nov-1990,777.60
31-Dec-1990,788.98
31-Jan-1991,813.17
28-Feb-1991,899.06
29-Mar-1991,843.88
30-Apr-1991,851.01
31-May-1991,858.71
28-Jun-1991,794.46
31-Jul-1991,832.30
30-Aug-1991,814.18
30-Sep-1991,858.85
31-Oct-1991,869.77
29-Nov-1991,827.91
31-Dec-1991,869.35
31-Jan-1992,849.52
28-Feb-1992,817.86
31-Mar-1992,762.62
30-Apr-1992,764.95
29-May-1992,814.85
30-Jun-1992,774.89
31-Jul-1992,753.71
31-Aug-1992,799.58
30-Sep-1992,782.45
30-Oct-1992,740.17
30-Nov-1992,745.94
31-Dec-1992,748.62
29-Jan-1993,747.35
26-Feb-1993,768.77
31-Mar-1993,834.61
30-Apr-1993,912.59
31-May-1993,930.65
30-Jun-1993,914.94
30-Jul-1993,945.80
31-Aug-1993,995.68
30-Sep-1993,972.07
29-Oct-1993,1000.85
30-Nov-1993,912.19
31-Dec-1993,976.90
31-Jan-1994,1058.31
28-Feb-1994,1054.18
31-Mar-1994,1007.55
29-Apr-1994,1049.07
31-May-1994,1041.82
30-Jun-1994,1055.28
29-Jul-1994,1064.17
31-Aug-1994,1088.09
30-Sep-1994,1052.51
31-Oct-1994,1086.22
30-Nov-1994,1032.70
30-Dec-1994,1037.86
31-Jan-1995,996.67
28-Feb-1995,992.45
31-Mar-1995,1052.89
28-Apr-1995,1091.01
31-May-1995,1076.54
30-Jun-1995,1056.17
31-Jul-1995,1120.42
