Date,Open,High,Low,Close,Volume,Adj Close
1998-12-22,20.78125,20.828119,20.75,20.828119,1900,14.030311
1998-12-23,20.96875,21.140619,20.96875,21.046881,700,14.177674
1998-12-24,21.296881,21.53125,21.203119,21.53125,1500,14.503956
1998-12-28,21.5,21.5,21.3125,21.34375,2500,14.377652
1998-12-29,21.734381,21.734381,21.734381,21.734381,100,14.640789999999999
1998-12-30,21.71875,21.71875,21.671881,21.671881,800,14.598688000000001
1998-12-31,21.859381,22.0,21.859381,21.921881,3300,14.767094
1999-01-04,21.9375,22.25,21.65625,21.65625,13000,14.588159
1999-01-05,21.859381,22.296881,21.859381,22.1875,4400,14.946021
1999-01-06,22.328119,22.578119,22.21875,22.578119,12900,15.209152
1999-01-07,22.46875,23.390619,22.328119,22.40625,86200,15.093376999999998
1999-01-08,22.609381,23.171881,22.609381,23.171881,25200,15.609123
1999-01-11,23.1875,23.21875,23.0,23.21875,14200,15.640695999999998
1999-01-12,23.015619,23.125,22.578119,22.625,5100,15.240732000000001
1999-01-13,21.953119,22.375,21.953119,22.125,5500,14.903920000000001
1999-01-14,22.1875,22.21875,21.5625,21.75,127300,14.651310999999998
1999-01-15,22.0,22.078119,21.890619,22.078119,15800,14.87234
1999-01-19,22.0,22.0,21.515619,21.671881,26700,14.598688000000001
1999-01-20,21.671881,21.828119,21.578119,21.59375,40900,14.546057999999999
1999-01-21,21.59375,21.625,21.390619,21.5,59900,14.482904999999999
1999-01-22,21.28125,21.359381,21.046881,21.078119,7000,14.198717000000002
1999-01-25,21.296881,21.5,21.21875,21.5,29300,14.482904999999999
1999-01-26,21.421881,21.4375,21.1875,21.4375,1800,14.440804
1999-01-27,21.828119,21.828119,21.265619,21.265619,15100,14.325021
1999-01-28,21.390619,21.390619,21.0,21.0,6800,14.146094
1999-01-29,20.953119,21.109381,20.953119,21.109381,400,14.219775
1999-02-01,21.28125,21.5,21.28125,21.28125,2900,14.33555
1999-02-02,21.203119,21.375,21.1875,21.296881,2800,14.346079000000001
1999-02-03,21.3125,21.390619,21.25,21.3125,1100,14.356601000000001
1999-02-04,21.359381,22.015619,21.359381,21.9375,6800,14.777616
1999-02-05,22.046881,22.4375,22.046881,22.234381,44400,14.977601000000002
1999-02-08,22.296881,22.359381,22.03125,22.125,22300,14.903920000000001
1999-02-09,22.125,22.125,21.703119,21.703119,14200,14.619731
1999-02-10,21.859381,21.859381,21.65625,21.75,4900,14.651310999999998
1999-02-11,21.625,21.828119,21.53125,21.53125,10100,14.503956
1999-02-12,21.5625,21.625,21.421881,21.421881,2500,14.430282
1999-02-16,21.828119,21.828119,21.21875,21.21875,6300,14.293448999999999
1999-02-17,21.125,21.421881,21.0,21.0,5100,14.146094
1999-02-18,21.046881,21.1875,20.921881,21.15625,31000,14.251347
1999-02-19,21.234381,21.359381,21.1875,21.328119,8100,14.367122
1999-02-22,21.25,21.75,21.25,21.6875,10000,14.609210000000001
1999-02-23,21.734381,21.75,21.375,21.5,5300,14.482904999999999
1999-02-24,21.8125,21.8125,21.4375,21.4375,2800,14.440804
1999-02-25,21.3125,21.4375,21.25,21.4375,6800,14.440804
1999-02-26,21.4375,21.4375,21.4375,21.4375,700,14.440804
1999-03-01,21.28125,21.296881,21.1875,21.1875,2100,14.272398
1999-03-02,21.234381,21.4375,21.0,21.0,47700,14.146094
1999-03-03,21.265619,21.265619,20.859381,20.859381,3900,14.051369000000001
1999-03-04,20.84375,21.125,20.84375,20.921881,2900,14.093471
1999-03-05,21.171881,21.625,21.171881,21.625,4200,14.567108
1999-03-08,21.4375,21.765619,21.4375,21.765619,6700,14.661832999999998
1999-03-09,21.65625,21.65625,21.5,21.578119,5600,14.535528
1999-03-10,21.59375,21.96875,21.546881,21.875,26800,14.735514000000002
1999-03-11,21.984381,22.21875,21.9375,22.109381,13900,14.893398000000001
1999-03-12,22.296881,22.359381,22.015619,22.015619,7900,14.830239
1999-03-15,22.015619,22.15625,21.90625,22.0625,6700,14.861819
1999-03-16,22.03125,22.09375,21.953119,21.96875,7500,14.798666
1999-03-17,22.078119,22.078119,21.875,21.90625,3500,14.756565
1999-03-18,22.140619,22.375,22.015619,22.375,11300,15.072326
1999-03-19,22.625,22.625,22.328119,22.328119,5300,15.091331
1999-03-22,22.234381,22.46875,22.234381,22.390619,24900,15.133574
1999-03-23,22.28125,22.28125,21.703119,21.828119,16700,14.753385999999999
1999-03-24,21.734381,22.0,21.6875,21.84375,76000,14.763951
