,action,value
2015-12-18,DIVIDEND,0.321
2015-09-18,DIVIDEND,0.238
2015-06-19,DIVIDEND,0.231
2015-03-20,DIVIDEND,0.185
2014-12-19,DIVIDEND,0.303
2014-09-19,DIVIDEND,0.234
2014-06-20,DIVIDEND,0.231
2014-03-21,DIVIDEND,0.19
2013-12-20,DIVIDEND,0.282
2013-09-20,DIVIDEND,0.216
2013-06-21,DIVIDEND,0.298
2013-03-15,DIVIDEND,0.164
2012-12-21,DIVIDEND,0.33
2012-09-21,DIVIDEND,0.197
2012-06-15,DIVIDEND,0.185
2012-03-16,DIVIDEND,0.141
2011-12-16,DIVIDEND,0.225
2011-09-16,DIVIDEND,0.183
2011-06-17,DIVIDEND,0.205
2011-03-18,DIVIDEND,0.124
2010-12-17,DIVIDEND,0.303
2010-09-17,DIVIDEND,0.666
2010-06-18,DIVIDEND,0.136
2010-03-19,DIVIDEND,0.073
2009-12-18,DIVIDEND,0.177
2009-09-18,DIVIDEND,0.133
2009-06-19,DIVIDEND,0.139
2009-03-20,DIVIDEND,0.131
2008-12-19,DIVIDEND,0.283
2008-09-19,DIVIDEND,0.213
2008-06-20,DIVIDEND,0.203
2008-03-20,DIVIDEND,0.12
2007-12-21,DIVIDEND,0.392
2007-09-21,DIVIDEND,0.19
2007-06-15,DIVIDEND,0.183
2007-03-16,DIVIDEND,0.048
2006-12-15,DIVIDEND,0.384
2006-09-15,DIVIDEND,0.183
2006-06-16,DIVIDEND,0.207
2006-03-17,DIVIDEND,0.158
2005-12-16,DIVIDEND,0.236
2005-09-16,DIVIDEND,0.152
2005-06-17,DIVIDEND,0.141
2005-03-18,DIVIDEND,0.106
2004-12-17,DIVIDEND,0.172
2004-09-17,DIVIDEND,0.125
2004-06-18,DIVIDEND,0.12
2004-03-19,DIVIDEND,0.089
2003-12-19,DIVIDEND,0.153
2003-09-19,DIVIDEND,0.12
2003-06-20,DIVIDEND,0.119
2003-03-21,DIVIDEND,0.086
2002-12-20,DIVIDEND,0.149
2002-09-20,DIVIDEND,0.111
2002-06-21,DIVIDEND,0.115
2002-03-15,DIVIDEND,0.079
2001-12-21,DIVIDEND,0.135
2001-09-21,DIVIDEND,0.107
2001-06-15,DIVIDEND,0.099
2001-03-16,DIVIDEND,0.094
2000-12-18,DIVIDEND,0.507
2000-12-15,DIVIDEND,0.0
2000-09-15,DIVIDEND,0.11
2000-09-14,DIVIDEND,0.0
2000-06-16,DIVIDEND,0.1
2000-03-17,DIVIDEND,0.054
1999-12-17,DIVIDEND,0.106
1999-09-17,DIVIDEND,0.075
1999-06-18,DIVIDEND,0.084
1999-03-19,DIVIDEND,0.075
