,action,value
2015-12-18,DIVIDEND,0.542
2015-09-18,DIVIDEND,0.478
2015-06-19,DIVIDEND,0.509
2015-03-20,DIVIDEND,0.515
2014-12-19,DIVIDEND,0.485
2014-09-19,DIVIDEND,0.483
2014-06-20,DIVIDEND,0.464
2014-03-21,DIVIDEND,0.427
2013-12-20,DIVIDEND,0.403
2013-09-20,DIVIDEND,0.393
2013-06-21,DIVIDEND,0.374
2013-03-15,DIVIDEND,0.357
2012-12-21,DIVIDEND,0.371
2012-09-21,DIVIDEND,0.334
2012-06-15,DIVIDEND,0.311
2012-03-16,DIVIDEND,0.285
2011-12-16,DIVIDEND,0.277
2011-09-16,DIVIDEND,0.264
2011-06-17,DIVIDEND,0.265
2011-03-18,DIVIDEND,0.255
2010-12-17,DIVIDEND,0.293
2010-09-17,DIVIDEND,0.249
2010-06-18,DIVIDEND,0.252
2010-03-19,DIVIDEND,0.203
2009-12-18,DIVIDEND,0.304
2009-09-18,DIVIDEND,0.246
2009-06-19,DIVIDEND,0.254
2009-03-20,DIVIDEND,0.23
2008-12-19,DIVIDEND,0.239
2008-09-19,DIVIDEND,0.215
2008-06-20,DIVIDEND,0.228
2008-03-20,DIVIDEND,0.203
2007-12-21,DIVIDEND,0.199
2007-09-21,DIVIDEND,0.198
2007-06-15,DIVIDEND,0.203
2007-03-16,DIVIDEND,0.187
2006-12-15,DIVIDEND,0.184
2006-09-15,DIVIDEND,0.177
2006-06-16,DIVIDEND,0.197
2006-03-17,DIVIDEND,0.161
2005-12-16,DIVIDEND,0.137
2005-09-16,DIVIDEND,0.148
2005-06-17,DIVIDEND,0.141
2005-03-18,DIVIDEND,0.144
2004-12-17,DIVIDEND,0.131
2004-09-17,DIVIDEND,0.133
2004-06-18,DIVIDEND,0.124
2004-03-19,DIVIDEND,0.127
2003-12-19,DIVIDEND,0.122
2003-09-19,DIVIDEND,0.121
2003-06-20,DIVIDEND,0.118
2003-03-21,DIVIDEND,0.119
2002-12-20,DIVIDEND,0.115
2002-09-20,DIVIDEND,0.115
2002-06-21,DIVIDEND,0.156
2002-03-15,DIVIDEND,0.096
2001-12-21,DIVIDEND,0.106
2001-09-21,DIVIDEND,0.141
2001-06-15,DIVIDEND,0.151
2001-03-16,DIVIDEND,0.097
2000-12-15,DIVIDEND,0.091
2000-09-15,DIVIDEND,0.143
2000-09-14,DIVIDEND,0.0
2000-06-16,DIVIDEND,0.151
2000-03-17,DIVIDEND,0.096
1999-12-17,DIVIDEND,0.08
1999-09-17,DIVIDEND,0.13
1999-06-18,DIVIDEND,0.146
1999-03-19,DIVIDEND,0.09
