,action,value
2015-12-18,DIVIDEND,0.15
2015-09-18,DIVIDEND,0.113
2015-06-19,DIVIDEND,0.11
2015-03-20,DIVIDEND,0.091
2014-12-19,DIVIDEND,0.126
2014-09-19,DIVIDEND,0.098
2014-06-20,DIVIDEND,0.09
2014-03-21,DIVIDEND,0.083
2013-12-20,DIVIDEND,0.101
2013-09-20,DIVIDEND,0.081
2013-06-21,DIVIDEND,0.077
2013-03-15,DIVIDEND,0.062
2012-12-21,DIVIDEND,0.104
2012-09-21,DIVIDEND,0.066
2012-06-15,DIVIDEND,0.068
2012-03-16,DIVIDEND,0.05
2011-12-16,DIVIDEND,0.08
2011-09-16,DIVIDEND,0.05
2011-06-17,DIVIDEND,0.053
2011-03-18,DIVIDEND,0.042
2010-12-17,DIVIDEND,0.056
2010-09-17,DIVIDEND,0.033
2010-06-18,DIVIDEND,0.031
2010-03-19,DIVIDEND,0.036
2009-12-18,DIVIDEND,0.052
2009-09-18,DIVIDEND,0.047
2009-06-19,DIVIDEND,0.061
2009-03-20,DIVIDEND,0.086
2008-12-19,DIVIDEND,0.183
2008-09-19,DIVIDEND,0.19
2008-06-20,DIVIDEND,0.2
2008-03-20,DIVIDEND,0.198
2007-12-21,DIVIDEND,0.261
2007-09-21,DIVIDEND,0.255
2007-06-15,DIVIDEND,0.204
2007-03-16,DIVIDEND,0.148
2006-12-15,DIVIDEND,0.281
2006-09-15,DIVIDEND,0.194
2006-06-16,DIVIDEND,0.187
2006-03-17,DIVIDEND,0.177
2005-12-16,DIVIDEND,0.208
2005-09-16,DIVIDEND,0.172
2005-06-17,DIVIDEND,0.175
2005-03-18,DIVIDEND,0.155
2004-12-17,DIVIDEND,0.187
2004-09-17,DIVIDEND,0.158
2004-06-18,DIVIDEND,0.146
2004-03-19,DIVIDEND,0.134
2003-12-19,DIVIDEND,0.164
2003-09-19,DIVIDEND,0.139
2003-06-20,DIVIDEND,0.116
2003-03-21,DIVIDEND,0.097
2002-12-20,DIVIDEND,0.133
2002-09-20,DIVIDEND,0.112
2002-06-21,DIVIDEND,0.112
2002-03-15,DIVIDEND,0.09
2001-12-21,DIVIDEND,0.115
2001-09-21,DIVIDEND,0.099
2001-06-15,DIVIDEND,0.101
2001-03-16,DIVIDEND,0.087
2000-12-15,DIVIDEND,0.103
2000-09-15,DIVIDEND,0.088
2000-09-14,DIVIDEND,0.0
2000-06-16,DIVIDEND,0.087
2000-03-17,DIVIDEND,0.085
1999-12-17,DIVIDEND,0.084
1999-09-17,DIVIDEND,0.075
1999-06-18,DIVIDEND,0.071
1999-03-19,DIVIDEND,0.069
