,action,value
2015-12-18,DIVIDEND,0.319
2015-09-18,DIVIDEND,0.281
2015-06-19,DIVIDEND,0.278
2015-03-20,DIVIDEND,0.261
2014-12-19,DIVIDEND,0.316
2014-09-19,DIVIDEND,0.257
2014-06-20,DIVIDEND,0.25
2014-03-21,DIVIDEND,0.225
2013-12-20,DIVIDEND,0.259
2013-09-20,DIVIDEND,0.219
2013-06-21,DIVIDEND,0.216
2013-03-15,DIVIDEND,0.182
2012-12-21,DIVIDEND,0.28
2012-09-21,DIVIDEND,0.24
2012-06-15,DIVIDEND,0.164
2012-03-16,DIVIDEND,0.177
2011-12-16,DIVIDEND,0.218
2011-09-16,DIVIDEND,0.178
2011-06-17,DIVIDEND,0.175
2011-03-18,DIVIDEND,0.157
2010-12-17,DIVIDEND,0.177
2010-09-17,DIVIDEND,0.155
2010-06-18,DIVIDEND,0.147
2010-03-19,DIVIDEND,0.106
2009-12-18,DIVIDEND,0.181
2009-09-18,DIVIDEND,0.144
2009-06-19,DIVIDEND,0.148
2009-03-20,DIVIDEND,0.173
2008-12-19,DIVIDEND,0.217
2008-09-19,DIVIDEND,0.176
2008-06-20,DIVIDEND,0.171
2008-03-20,DIVIDEND,0.16
2007-12-21,DIVIDEND,0.186
2007-09-21,DIVIDEND,0.204
2007-06-15,DIVIDEND,0.101
2007-03-16,DIVIDEND,0.076
2006-12-15,DIVIDEND,0.283
2006-09-15,DIVIDEND,0.138
2006-06-16,DIVIDEND,0.085
2006-03-17,DIVIDEND,0.126
2005-12-16,DIVIDEND,0.19
2005-09-16,DIVIDEND,0.118
2005-06-17,DIVIDEND,0.075
2005-03-18,DIVIDEND,0.107
2004-12-17,DIVIDEND,0.156
2004-09-17,DIVIDEND,0.099
2004-06-18,DIVIDEND,0.058
2004-03-19,DIVIDEND,0.091
2003-12-19,DIVIDEND,0.13
2003-09-19,DIVIDEND,0.087
2003-06-20,DIVIDEND,0.05
2003-03-21,DIVIDEND,0.076
2002-12-20,DIVIDEND,0.113
2002-09-20,DIVIDEND,0.077
2002-06-21,DIVIDEND,0.059
2002-03-15,DIVIDEND,0.082
2001-09-21,DIVIDEND,0.091
2001-06-15,DIVIDEND,0.065
2001-03-16,DIVIDEND,0.079
2000-12-15,DIVIDEND,0.128
2000-09-15,DIVIDEND,0.085
2000-09-14,DIVIDEND,0.0
2000-06-16,DIVIDEND,0.061
2000-03-17,DIVIDEND,0.057
1999-12-20,DIVIDEND,0.0
1999-12-17,DIVIDEND,0.11
1999-09-17,DIVIDEND,0.054
1999-06-18,DIVIDEND,0.038
1999-03-19,DIVIDEND,0.094
