,action,value
2015-12-18,DIVIDEND,0.216
2015-09-18,DIVIDEND,0.183
2015-06-19,DIVIDEND,0.193
2015-03-20,DIVIDEND,0.173
2014-12-19,DIVIDEND,0.216
2014-09-19,DIVIDEND,0.174
2014-06-20,DIVIDEND,0.176
2014-03-21,DIVIDEND,0.157
2013-12-20,DIVIDEND,0.171
2013-09-20,DIVIDEND,0.158
2013-06-21,DIVIDEND,0.155
2013-03-15,DIVIDEND,0.124
2012-12-21,DIVIDEND,0.168
2012-09-21,DIVIDEND,0.13
2012-06-15,DIVIDEND,0.109
2012-03-16,DIVIDEND,0.096
2011-12-16,DIVIDEND,0.109
2011-09-16,DIVIDEND,0.094
2011-06-17,DIVIDEND,0.098
2011-03-18,DIVIDEND,0.084
2010-12-17,DIVIDEND,0.09
2010-09-17,DIVIDEND,0.081
2010-06-18,DIVIDEND,0.079
2010-03-19,DIVIDEND,0.073
2009-12-18,DIVIDEND,0.079
2009-09-18,DIVIDEND,0.077
2009-06-19,DIVIDEND,0.081
2009-03-20,DIVIDEND,0.077
2008-12-19,DIVIDEND,0.081
2008-09-19,DIVIDEND,0.071
2008-06-20,DIVIDEND,0.069
2008-03-20,DIVIDEND,0.006
2007-12-21,DIVIDEND,0.123
2007-09-21,DIVIDEND,0.053
2007-06-15,DIVIDEND,0.018
2006-12-15,DIVIDEND,0.135
2006-09-15,DIVIDEND,0.044
2005-12-16,DIVIDEND,0.148
2004-12-17,DIVIDEND,0.418
2004-09-17,DIVIDEND,0.0
2004-03-19,DIVIDEND,0.0
2003-12-19,DIVIDEND,0.141
2002-12-20,DIVIDEND,0.041
2001-06-15,DIVIDEND,0.0
1999-12-17,DIVIDEND,0.001
