,action,value
2015-12-18,DIVIDEND,0.37
2015-09-18,DIVIDEND,0.308
2015-06-19,DIVIDEND,0.302
2015-03-20,DIVIDEND,0.296
2014-12-19,DIVIDEND,0.35
2014-09-19,DIVIDEND,0.286
2014-06-20,DIVIDEND,0.311
2014-03-21,DIVIDEND,0.216
2013-12-20,DIVIDEND,0.322
2013-09-20,DIVIDEND,0.261
2013-06-21,DIVIDEND,0.254
2013-03-15,DIVIDEND,0.191
2012-12-21,DIVIDEND,0.398
2012-09-21,DIVIDEND,0.255
2012-06-15,DIVIDEND,0.236
2012-03-16,DIVIDEND,0.178
2011-12-16,DIVIDEND,0.285
2011-09-16,DIVIDEND,0.219
2011-06-17,DIVIDEND,0.217
2011-03-18,DIVIDEND,0.164
2010-12-17,DIVIDEND,0.256
2010-09-17,DIVIDEND,0.197
2010-06-18,DIVIDEND,0.192
2010-03-19,DIVIDEND,0.118
2009-12-18,DIVIDEND,0.249
2009-09-18,DIVIDEND,0.179
2009-06-19,DIVIDEND,0.177
2009-03-20,DIVIDEND,0.123
2008-12-19,DIVIDEND,0.2
2008-09-19,DIVIDEND,0.189
2008-06-20,DIVIDEND,0.119
2008-03-20,DIVIDEND,0.146
2007-12-21,DIVIDEND,0.147
2007-09-21,DIVIDEND,0.154
2007-06-15,DIVIDEND,0.169
2007-03-16,DIVIDEND,0.129
2006-12-15,DIVIDEND,0.132
2006-09-15,DIVIDEND,0.128
2006-06-16,DIVIDEND,0.127
2006-03-17,DIVIDEND,0.126
2005-12-16,DIVIDEND,0.12
2005-09-16,DIVIDEND,0.114
2005-06-17,DIVIDEND,0.112
2005-03-18,DIVIDEND,0.096
2004-12-17,DIVIDEND,0.095
2004-09-17,DIVIDEND,0.093
2004-06-18,DIVIDEND,0.087
2004-03-19,DIVIDEND,0.082
2003-12-19,DIVIDEND,0.091
2003-09-19,DIVIDEND,0.071
2003-06-20,DIVIDEND,0.092
2003-03-21,DIVIDEND,0.105
2002-12-20,DIVIDEND,0.105
2002-09-20,DIVIDEND,0.132
2002-06-21,DIVIDEND,0.072
2002-03-15,DIVIDEND,0.075
2001-12-21,DIVIDEND,0.09
2001-09-21,DIVIDEND,0.077
2001-06-15,DIVIDEND,0.081
2001-03-16,DIVIDEND,0.072
2000-12-15,DIVIDEND,0.08
2000-09-15,DIVIDEND,0.09
2000-09-14,DIVIDEND,0.0
2000-06-16,DIVIDEND,0.057
2000-03-17,DIVIDEND,0.068
1999-12-17,DIVIDEND,0.067
1999-09-17,DIVIDEND,0.055
1999-06-18,DIVIDEND,0.1
1999-03-19,DIVIDEND,0.049
