,action,value
2015-12-18,DIVIDEND,0.445
2015-09-18,DIVIDEND,0.401
2015-06-19,DIVIDEND,0.393
2015-03-20,DIVIDEND,0.351
2014-12-19,DIVIDEND,0.417
2014-09-19,DIVIDEND,0.38
2014-06-20,DIVIDEND,0.374
2014-03-21,DIVIDEND,0.335
2013-12-20,DIVIDEND,0.401
2013-09-20,DIVIDEND,0.365
2013-06-21,DIVIDEND,0.37
2013-03-15,DIVIDEND,0.329
2012-12-21,DIVIDEND,0.4
2012-09-21,DIVIDEND,0.381
2012-06-15,DIVIDEND,0.342
2012-03-16,DIVIDEND,0.322
2011-12-16,DIVIDEND,0.388
2011-09-16,DIVIDEND,0.343
2011-06-17,DIVIDEND,0.334
2011-03-18,DIVIDEND,0.303
2010-12-17,DIVIDEND,0.37
2010-09-17,DIVIDEND,0.317
2010-07-30,DIVIDEND,0.0
2010-06-18,DIVIDEND,0.317
2010-03-19,DIVIDEND,0.267
2009-12-18,DIVIDEND,0.369
2009-09-18,DIVIDEND,0.305
2009-06-19,DIVIDEND,0.317
2009-03-20,DIVIDEND,0.282
2008-12-19,DIVIDEND,0.359
2008-09-19,DIVIDEND,0.3
2008-06-20,DIVIDEND,0.305
2008-03-20,DIVIDEND,0.271
2007-12-21,DIVIDEND,0.327
2007-09-21,DIVIDEND,0.284
2007-06-15,DIVIDEND,0.276
2007-03-16,DIVIDEND,0.208
2006-12-15,DIVIDEND,0.336
2006-09-15,DIVIDEND,0.272
2006-06-16,DIVIDEND,0.269
2006-03-17,DIVIDEND,0.242
2005-12-16,DIVIDEND,0.288
2005-09-16,DIVIDEND,0.251
2005-06-17,DIVIDEND,0.249
2005-03-18,DIVIDEND,0.222
2004-12-17,DIVIDEND,0.262
2004-09-17,DIVIDEND,0.209
2004-06-18,DIVIDEND,0.205
2004-03-19,DIVIDEND,0.198
2003-12-19,DIVIDEND,0.212
2003-09-19,DIVIDEND,0.195
2003-06-20,DIVIDEND,0.193
2003-03-21,DIVIDEND,0.197
2002-12-20,DIVIDEND,0.227
2002-09-20,DIVIDEND,0.232
2002-06-21,DIVIDEND,0.237
2002-03-15,DIVIDEND,0.224
2001-12-21,DIVIDEND,0.215
2001-09-21,DIVIDEND,0.231
2001-06-15,DIVIDEND,0.219
2001-03-16,DIVIDEND,0.215
2000-12-18,DIVIDEND,0.254
2000-12-15,DIVIDEND,0.238
2000-09-15,DIVIDEND,0.251
2000-09-14,DIVIDEND,0.0
2000-06-16,DIVIDEND,0.221
2000-03-17,DIVIDEND,0.197
1999-12-20,DIVIDEND,0.0
1999-12-17,DIVIDEND,0.183
1999-09-17,DIVIDEND,0.223
1999-06-18,DIVIDEND,0.187
1999-03-19,DIVIDEND,0.189
