,action,value
2015-12-18,DIVIDEND,0.303
2015-09-18,DIVIDEND,0.261
2015-06-19,DIVIDEND,0.261
2015-03-20,DIVIDEND,0.208
2014-12-19,DIVIDEND,0.26
2014-09-19,DIVIDEND,0.231
2014-06-20,DIVIDEND,0.226
2014-03-21,DIVIDEND,0.205
2013-12-20,DIVIDEND,0.225
2013-09-20,DIVIDEND,0.213
2013-06-21,DIVIDEND,0.212
2013-03-15,DIVIDEND,0.194
2012-12-21,DIVIDEND,0.219
2012-09-21,DIVIDEND,0.199
2012-06-15,DIVIDEND,0.199
2012-03-16,DIVIDEND,0.186
2011-12-16,DIVIDEND,0.188
2011-09-16,DIVIDEND,0.177
2011-06-17,DIVIDEND,0.17
2011-03-18,DIVIDEND,0.145
2010-12-17,DIVIDEND,0.164
2010-09-17,DIVIDEND,0.154
2010-06-18,DIVIDEND,0.151
2010-03-19,DIVIDEND,0.108
2009-12-18,DIVIDEND,0.171
2009-09-18,DIVIDEND,0.127
2009-06-19,DIVIDEND,0.13
2009-03-20,DIVIDEND,0.146
2008-12-19,DIVIDEND,0.158
2008-09-19,DIVIDEND,0.142
2008-06-20,DIVIDEND,0.142
2008-03-20,DIVIDEND,0.139
2007-12-21,DIVIDEND,0.13
2007-09-21,DIVIDEND,0.123
2007-06-15,DIVIDEND,0.193
2007-03-16,DIVIDEND,0.124
2006-12-15,DIVIDEND,0.117
2006-09-15,DIVIDEND,0.113
2006-06-16,DIVIDEND,0.111
2006-03-17,DIVIDEND,0.107
2005-12-16,DIVIDEND,0.104
2005-09-16,DIVIDEND,0.096
2005-06-17,DIVIDEND,0.096
2005-03-18,DIVIDEND,0.101
2004-12-17,DIVIDEND,0.093
2004-09-17,DIVIDEND,0.089
2004-06-18,DIVIDEND,0.086
2004-03-19,DIVIDEND,0.075
2003-12-19,DIVIDEND,0.103
2003-09-19,DIVIDEND,0.086
2003-06-20,DIVIDEND,0.086
2003-03-21,DIVIDEND,0.072
2002-12-20,DIVIDEND,0.099
2002-09-20,DIVIDEND,0.079
2002-06-21,DIVIDEND,0.007
2002-03-15,DIVIDEND,0.013
2001-12-21,DIVIDEND,0.047
2001-09-21,DIVIDEND,0.009
2001-06-15,DIVIDEND,0.012
2001-03-16,DIVIDEND,0.005
2000-12-18,DIVIDEND,0.005
2000-12-15,DIVIDEND,0.0
1999-12-20,DIVIDEND,0.176
