,action,value
2015-12-18,DIVIDEND,0.325
2015-09-18,DIVIDEND,0.289
2015-06-19,DIVIDEND,0.247
2015-03-20,DIVIDEND,0.255
2014-12-19,DIVIDEND,0.293
2014-09-19,DIVIDEND,0.229
2014-06-20,DIVIDEND,0.212
2014-03-21,DIVIDEND,0.208
2013-12-20,DIVIDEND,0.262
2013-09-20,DIVIDEND,0.18
2013-06-21,DIVIDEND,0.176
2013-03-15,DIVIDEND,0.158
2012-12-21,DIVIDEND,0.306
2012-09-21,DIVIDEND,0.166
2012-06-15,DIVIDEND,0.152
2012-03-16,DIVIDEND,0.137
2011-12-16,DIVIDEND,0.22
2011-09-16,DIVIDEND,0.128
2011-06-17,DIVIDEND,0.133
2011-03-18,DIVIDEND,0.126
2010-12-17,DIVIDEND,0.22
2010-09-17,DIVIDEND,0.105
2010-06-18,DIVIDEND,0.105
2010-03-19,DIVIDEND,0.062
2009-12-18,DIVIDEND,0.161
2009-09-18,DIVIDEND,0.09
2009-06-19,DIVIDEND,0.098
2009-03-20,DIVIDEND,0.102
2008-12-19,DIVIDEND,0.162
2008-09-19,DIVIDEND,0.105
2008-06-20,DIVIDEND,0.112
2008-03-20,DIVIDEND,0.04
2007-12-21,DIVIDEND,0.235
2007-09-21,DIVIDEND,0.073
2007-06-15,DIVIDEND,0.07
2007-03-16,DIVIDEND,0.068
2006-12-15,DIVIDEND,0.138
2006-09-15,DIVIDEND,0.066
2006-06-16,DIVIDEND,0.071
2006-03-17,DIVIDEND,0.007
2005-12-16,DIVIDEND,0.171
2005-09-16,DIVIDEND,0.059
2005-06-17,DIVIDEND,0.049
2005-03-18,DIVIDEND,0.048
2004-12-17,DIVIDEND,0.108
2004-09-17,DIVIDEND,0.046
2004-06-18,DIVIDEND,0.042
2004-03-19,DIVIDEND,0.042
2003-12-19,DIVIDEND,0.084
2003-09-19,DIVIDEND,0.038
2003-06-20,DIVIDEND,0.038
2003-03-21,DIVIDEND,0.034
2002-12-20,DIVIDEND,0.053
2002-09-20,DIVIDEND,0.03
2002-06-21,DIVIDEND,0.051
2002-03-15,DIVIDEND,0.038
2001-12-21,DIVIDEND,0.044
2001-09-21,DIVIDEND,0.063
2001-06-15,DIVIDEND,0.059
2001-03-16,DIVIDEND,0.053
2000-12-15,DIVIDEND,0.061
2000-09-15,DIVIDEND,0.066
2000-09-14,DIVIDEND,0.0
2000-06-16,DIVIDEND,0.05
2000-03-17,DIVIDEND,0.055
1999-12-17,DIVIDEND,0.038
1999-09-17,DIVIDEND,0.037
1999-06-18,DIVIDEND,0.038
1999-03-19,DIVIDEND,0.032
