Period,Index
31-Dec-1971,100.00
31-Jan-1972,101.22
29-Feb-1972,102.18
31-Mar-1972,102.44
30-Apr-1972,102.70
31-May-1972,101.15
30-Jun-1972,101.16
31-Jul-1972,104.02
31-Aug-1972,102.84
30-Sep-1972,105.89
31-Oct-1972,108.90
30-Nov-1972,111.21
31-Dec-1972,111.19
31-Jan-1973,111.57
28-Feb-1973,104.39
31-Mar-1973,106.05
30-Apr-1973,101.94
31-May-1973,97.82
30-Jun-1973,98.72
31-Jul-1973,100.87
31-Aug-1973,94.28
30-Sep-1973,101.67
31-Oct-1973,102.92
30-Nov-1973,88.48
31-Dec-1973,80.93
31-Jan-1974,83.44
28-Feb-1974,87.26
31-Mar-1974,84.05
30-Apr-1974,73.77
31-May-1974,69.60
30-Jun-1974,63.20
31-Jul-1974,62.19
31-Aug-1974,51.03
30-Sep-1974,52.76
31-Oct-1974,57.45
30-Nov-1974,51.43
31-Dec-1974,46.75
31-Jan-1975,61.16
28-Feb-1975,58.34
31-Mar-1975,63.56
30-Apr-1975,60.11
31-May-1975,62.16
30-Jun-1975,66.13
31-Jul-1975,66.28
31-Aug-1975,65.32
30-Sep-1975,60.33
31-Oct-1975,59.50
30-Nov-1975,60.33
31-Dec-1975,63.74
31-Jan-1976,73.03
29-Feb-1976,75.88
31-Mar-1976,75.21
30-Apr-1976,75.76
31-May-1976,74.25
30-Jun-1976,75.28
31-Jul-1976,77.61
31-Aug-1976,79.91
30-Sep-1976,82.58
31-Oct-1976,83.62
30-Nov-1976,87.24
31-Dec-1976,94.96
31-Jan-1977,96.68
28-Feb-1977,96.23
31-Mar-1977,96.58
30-Apr-1977,100.11
31-May-1977,98.98
30-Jun-1977,104.03
31-Jul-1977,107.48
31-Aug-1977,108.66
30-Sep-1977,106.97
31-Oct-1977,105.77
30-Nov-1977,112.82
31-Dec-1977,113.07
31-Jan-1978,109.44
28-Feb-1978,110.68
31-Mar-1978,114.95
30-Apr-1978,115.56
31-May-1978,113.52
30-Jun-1978,113.25
31-Jul-1978,116.19
31-Aug-1978,121.10
30-Sep-1978,122.75
31-Oct-1978,109.81
30-Nov-1978,110.50
31-Dec-1978,111.21
31-Jan-1979,119.72
28-Feb-1979,119.46
31-Mar-1979,128.96
30-Apr-1979,130.91
31-May-1979,130.73
30-Jun-1979,140.89
31-Jul-1979,144.49
31-Aug-1979,159.05
30-Sep-1979,154.59
31-Oct-1979,136.90
30-Nov-1979,144.07
31-Dec-1979,145.16
31-Jan-1980,155.16
29-Feb-1980,153.35
31-Mar-1980,132.93
30-Apr-1980,144.19
31-May-1980,155.24
30-Jun-1980,164.24
31-Jul-1980,177.36
31-Aug-1980,181.18
30-Sep-1980,177.97
31-Oct-1980,192.10
30-Nov-1980,190.13
31-Dec-1980,185.84
31-Jan-1981,189.32
28-Feb-1981,190.56
31-Mar-1981,202.00
30-Apr-1981,204.98
31-May-1981,195.60
30-Jun-1981,203.40
31-Jul-1981,204.58
31-Aug-1981,193.86
30-Sep-1981,183.09
31-Oct-1981,192.55
30-Nov-1981,204.84
31-Dec-1981,201.78
31-Jan-1982,199.97
28-Feb-1982,195.87
31-Mar-1982,196.91
30-Apr-1982,201.81
31-May-1982,199.82
30-Jun-1982,192.48
31-Jul-1982,200.12
31-Aug-1982,214.25
30-Sep-1982,224.51
31-Oct-1982,249.14
30-Nov-1982,260.99
31-Dec-1982,265.62
31-Jan-1983,271.71
28-Feb-1983,279.05
31-Mar-1983,302.27
30-Apr-1983,318.23
31-May-1983,318.44
30-Jun-1983,315.54
31-Jul-1983,311.22
31-Aug-1983,308.82
30-Sep-1983,315.71
31-Oct-1983,323.66
30-Nov-1983,328.30
31-Dec-1983,333.28
31-Jan-1984,337.64
29-Feb-1984,332.40
31-Mar-1984,334.72
30-Apr-1984,338.94
31-May-1984,329.37
30-Jun-1984,330.21
31-Jul-1984,327.80
31-Aug-1984,343.79
30-Sep-1984,361.72
31-Oct-1984,372.67
30-Nov-1984,377.42
31-Dec-1984,382.65
31-Jan-1985,404.31
28-Feb-1985,410.96
31-Mar-1985,408.20
30-Apr-1985,408.57
31-May-1985,419.70
30-Jun-1985,429.44
31-Jul-1985,433.40
31-Aug-1985,409.70
30-Sep-1985,396.94
31-Oct-1985,409.41
30-Nov-1985,402.83
31-Dec-1985,405.30
31-Jan-1986,420.97
28-Feb-1986,436.90
31-Mar-1986,447.65
30-Apr-1986,450.33
31-May-1986,447.76
30-Jun-1986,463.52
31-Jul-1986,465.62
31-Aug-1986,485.03
30-Sep-1986,473.40
31-Oct-1986,490.89
30-Nov-1986,488.17
31-Dec-1986,483.03
31-Jan-1987,493.35
28-Feb-1987,508.47
31-Mar-1987,509.40
30-Apr-1987,495.59
31-May-1987,490.87
30-Jun-1987,500.64
31-Jul-1987,501.13
31-Aug-1987,491.61
30-Sep-1987,481.52
31-Oct-1987,412.75
30-Nov-1987,416.69
31-Dec-1987,431.49
31-Jan-1988,467.03
29-Feb-1988,478.28
31-Mar-1988,479.24
30-Apr-1988,483.18
31-May-1988,477.65
30-Jun-1988,490.02
31-Jul-1988,496.21
31-Aug-1988,493.06
30-Sep-1988,491.37
31-Oct-1988,487.72
30-Nov-1988,479.91
31-Dec-1988,480.49
31-Jan-1989,482.69
28-Feb-1989,474.71
31-Mar-1989,474.58
30-Apr-1989,482.52
31-May-1989,493.99
30-Jun-1989,498.30
31-Jul-1989,510.15
31-Aug-1989,510.65
30-Sep-1989,504.61
31-Oct-1989,483.76
30-Nov-1989,477.21
31-Dec-1989,471.78
31-Jan-1990,461.26
28-Feb-1990,445.44
31-Mar-1990,446.18
30-Apr-1990,439.33
31-May-1990,439.19
30-Jun-1990,442.54
31-Jul-1990,434.58
31-Aug-1990,408.04
30-Sep-1990,379.76
31-Oct-1990,366.46
30-Nov-1990,389.80
31-Dec-1990,389.95
31-Jan-1991,424.12
28-Feb-1991,444.98
31-Mar-1991,478.90
30-Apr-1991,490.28
31-May-1991,501.85
30-Jun-1991,488.84
31-Jul-1991,498.27
31-Aug-1991,498.57
30-Sep-1991,508.20
31-Oct-1991,505.06
30-Nov-1991,505.18
31-Dec-1991,529.08
31-Jan-1992,555.27
29-Feb-1992,542.38
31-Mar-1992,534.31
30-Apr-1992,535.51
31-May-1992,552.75
30-Jun-1992,546.05
31-Jul-1992,564.53
31-Aug-1992,559.65
30-Sep-1992,573.00
31-Oct-1992,571.12
30-Nov-1992,582.24
31-Dec-1992,593.49
31-Jan-1993,631.29
28-Feb-1993,661.04
31-Mar-1993,706.94
30-Apr-1993,675.78
31-May-1993,667.53
30-Jun-1993,687.12
31-Jul-1993,698.72
31-Aug-1993,715.48
30-Sep-1993,748.12
31-Oct-1993,738.70
30-Nov-1993,703.76
31-Dec-1993,703.57
31-Jan-1994,724.61
28-Feb-1994,749.56
31-Mar-1994,719.38
30-Apr-1994,731.05
31-May-1994,745.91
30-Jun-1994,729.72
31-Jul-1994,727.87
31-Aug-1994,731.91
30-Sep-1994,717.04
31-Oct-1994,690.44
30-Nov-1994,668.00
31-Dec-1994,709.24
31-Jan-1995,698.71
28-Feb-1995,721.39
31-Mar-1995,717.09
30-Apr-1995,718.71
31-May-1995,751.07
30-Jun-1995,764.39
31-Jul-1995,776.34
31-Aug-1995,787.89
30-Sep-1995,802.31
31-Oct-1995,787.55
30-Nov-1995,795.45
31-Dec-1995,839.09
31-Jan-1996,855.16
29-Feb-1996,861.75
31-Mar-1996,860.51
30-Apr-1996,863.31
31-May-1996,886.74
30-Jun-1996,898.96
31-Jul-1996,906.70
31-Aug-1996,943.59
30-Sep-1996,960.00
31-Oct-1996,990.80
30-Nov-1996,1035.88
31-Dec-1996,1139.10
31-Jan-1997,1151.78
28-Feb-1997,1152.77
31-Mar-1997,1142.11
30-Apr-1997,1116.07
31-May-1997,1151.79
30-Jun-1997,1207.07
31-Jul-1997,1243.20
31-Aug-1997,1240.70
30-Sep-1997,1339.81
31-Oct-1997,1305.67
30-Nov-1997,1327.80
31-Dec-1997,1353.94
31-Jan-1998,1347.61
28-Feb-1998,1324.74
31-Mar-1998,1346.59
30-Apr-1998,1303.30
31-May-1998,1292.25
30-Jun-1998,1284.19
31-Jul-1998,1200.01
31-Aug-1998,1075.84
30-Sep-1998,1144.13
31-Oct-1998,1112.97
30-Nov-1998,1133.23
31-Dec-1998,1099.09
31-Jan-1999,1077.24
28-Feb-1999,1048.32
31-Mar-1999,1043.05
30-Apr-1999,1144.33
31-May-1999,1169.51
30-Jun-1999,1153.42
31-Jul-1999,1111.09
31-Aug-1999,1086.83
30-Sep-1999,1046.38
31-Oct-1999,1019.39
30-Nov-1999,997.96
31-Dec-1999,1027.92
31-Jan-2000,1031.41
29-Feb-2000,1017.95
31-Mar-2000,1050.95
30-Apr-2000,1120.17
31-May-2000,1131.89
30-Jun-2000,1161.92
31-Jul-2000,1260.66
31-Aug-2000,1210.66
30-Sep-2000,1249.59
31-Oct-2000,1196.02
30-Nov-2000,1210.26
31-Dec-2000,1294.05
31-Jan-2001,1312.88
28-Feb-2001,1295.87
31-Mar-2001,1307.67
30-Apr-2001,1342.06
31-May-2001,1376.06
30-Jun-2001,1456.51
31-Jul-2001,1431.32
31-Aug-2001,1479.80
30-Sep-2001,1420.49
31-Oct-2001,1382.22
30-Nov-2001,1456.21
31-Dec-2001,1494.65
31-Jan-2002,1500.34
28-Feb-2002,1527.50
31-Mar-2002,1618.94
30-Apr-2002,1640.20
31-May-2002,1663.91
30-Jun-2002,1709.47
31-Jul-2002,1623.17
31-Aug-2002,1622.78
30-Sep-2002,1558.64
31-Oct-2002,1487.43
30-Nov-2002,1554.81
31-Dec-2002,1572.61
31-Jan-2003,1528.74
28-Feb-2003,1553.50
31-Mar-2003,1585.62
30-Apr-2003,1661.26
31-May-2003,1762.95
30-Jun-2003,1808.81
31-Jul-2003,1903.50
31-Aug-2003,1911.69
30-Sep-2003,1971.87
31-Oct-2003,2014.35
30-Nov-2003,2105.34
31-Dec-2003,2177.53
31-Jan-2004,2271.21
29-Feb-2004,2321.02
31-Mar-2004,2450.94
30-Apr-2004,2076.83
31-May-2004,2223.50
30-Jun-2004,2290.04
31-Jul-2004,2291.01
31-Aug-2004,2471.59
30-Sep-2004,2476.38
31-Oct-2004,2588.96
30-Nov-2004,2709.02
31-Dec-2004,2839.70
31-Jan-2005,2615.03
28-Feb-2005,2673.98
31-Mar-2005,2624.25
30-Apr-2005,2747.03
31-May-2005,2845.25
30-Jun-2005,2978.97
31-Jul-2005,3174.61
31-Aug-2005,3039.81
30-Sep-2005,3036.75
31-Oct-2005,2953.72
30-Nov-2005,3081.86
31-Dec-2005,3075.06
31-Jan-2006,3290.26
28-Feb-2006,3337.77
31-Mar-2006,3504.79
30-Apr-2006,3396.04
31-May-2006,3301.52
30-Jun-2006,3466.31
31-Jul-2006,3570.76
31-Aug-2006,3692.92
30-Sep-2006,3766.03
31-Oct-2006,4004.00
30-Nov-2006,4182.43
31-Dec-2006,4131.39
31-Jan-2007,4455.00
28-Feb-2007,4325.12
31-Mar-2007,4216.98
30-Apr-2007,4221.58
31-May-2007,4226.00
30-Jun-2007,3843.94
31-Jul-2007,3505.89
31-Aug-2007,3698.61
