Date,Open,High,Low,Close,Volume,Adj Close
2007-08-13,793.14,800.14,779.80,779.81,000,779.81
2007-08-10,777.85,800.15,768.47,788.78,000,788.78
2007-08-09,786.69,796.32,779.65,784.87,000,784.87
2007-08-08,778.48,803.51,778.48,795.66,000,795.66
2007-08-07,763.89,778.34,758.47,774.13,000,774.13
2007-08-06,756.94,766.76,743.39,766.39,000,766.39
2007-08-03,783.45,784.28,754.11,755.42,000,755.42
2007-08-02,779.16,785.14,777.02,783.99,000,783.99
2007-08-01,774.97,780.66,765.23,777.92,000,777.92
2007-07-31,787.46,794.62,777.16,777.16,000,777.16
2007-07-30,778.87,787.60,770.59,784.23,000,784.23
2007-07-27,790.71,794.76,777.09,777.83,000,777.83
2007-07-26,807.16,807.16,780.59,791.48,000,791.48
2007-07-25,815.21,821.27,803.14,812.50,000,812.50
2007-07-24,832.37,832.37,809.53,811.86,000,811.86
2007-07-23,838.20,842.04,835.55,835.62,000,835.62
2007-07-20,850.69,850.69,830.66,836.44,000,836.44
2007-07-19,848.80,853.37,848.80,851.85,000,851.85
2007-07-18,849.64,849.64,835.79,845.91,000,845.91
2007-07-17,849.79,854.67,849.79,849.89,000,849.89
2007-07-16,854.98,855.50,846.88,848.47,000,848.47
2007-07-13,854.27,856.48,851.25,855.77,000,855.77
2007-07-12,842.61,855.18,842.61,855.18,000,855.18
2007-07-11,837.82,840.69,834.14,839.97,000,839.97
2007-07-10,851.19,851.19,837.27,837.48,000,837.48
2007-07-09,853.21,854.50,849.20,853.24,000,853.24
2007-07-06,849.67,853.52,845.71,852.31,000,852.31
2007-07-05,848.27,850.77,843.74,850.13,000,850.13
2007-07-03,845.45,849.16,845.45,848.20,000,848.20
2007-07-02,836.08,845.06,836.08,845.06,000,845.06
2007-06-29,840.73,845.67,832.63,833.70,000,833.70
2007-06-28,838.52,845.50,838.22,839.04,000,839.04
2007-06-27,823.98,838.60,820.18,838.46,000,838.46
2007-06-26,828.65,832.21,823.04,826.13,000,826.13
2007-06-25,834.12,837.95,824.66,827.46,000,827.46
2007-06-22,839.03,839.17,829.35,834.75,000,834.75
2007-06-21,834.58,840.02,828.71,839.81,000,839.81
2007-06-20,849.36,850.80,835.83,836.18,000,836.18
2007-06-19,845.52,849.48,840.38,848.34,000,848.34
2007-06-18,848.69,849.24,842.38,846.28,000,846.28
2007-06-15,842.65,851.15,842.65,848.19,000,848.19
2007-06-14,832.91,840.98,832.91,837.12,000,837.12
2007-06-13,822.99,833.88,822.76,832.54,000,832.54
2007-06-12,830.82,831.91,819.75,821.72,000,821.72
2007-06-11,834.35,837.23,829.02,833.18,000,833.18
2007-06-08,824.97,836.11,822.22,835.31,000,835.31
2007-06-07,839.50,839.50,824.84,825.32,000,825.32
2007-06-06,845.58,845.58,837.09,841.21,000,841.21
2007-06-05,853.48,853.48,844.10,848.25,000,848.25
2007-06-04,852.53,855.19,849.26,855.09,000,855.09
2007-06-01,848.62,856.39,848.62,853.45,000,853.45
2007-05-31,844.19,849.26,843.71,847.18,000,847.18
2007-05-30,836.49,843.38,831.18,843.35,000,843.35
2007-05-29,831.24,838.58,831.24,837.53,000,837.53
2007-05-25,825.20,831.75,825.20,829.93,000,829.93
2007-05-24,836.29,840.61,821.28,823.80,000,823.80
2007-05-23,840.75,845.94,835.58,836.54,000,836.54
2007-05-22,833.56,841.38,832.16,839.92,000,839.92
2007-05-21,823.39,837.19,823.22,833.65,000,833.65
2007-05-18,818.20,825.25,814.65,823.66,000,823.66
2007-05-17,819.45,819.45,813.23,815.64,000,815.64
2007-05-16,814.72,820.21,810.61,820.20,000,820.20
2007-05-15,822.33,827.60,813.69,814.18,000,814.18
2007-05-14,828.93,831.15,820.65,822.33,000,822.33
2007-05-11,818.70,829.54,818.70,829.54,000,829.54
2007-05-10,832.71,832.71,818.56,818.63,000,818.63
2007-05-09,828.28,836.99,826.68,834.77,000,834.77
2007-05-08,830.33,830.90,821.74,830.90,000,830.90
2007-05-07,833.28,835.13,830.85,831.87,000,831.87
2007-05-04,830.23,832.88,827.82,832.88,000,832.88
2007-05-03,828.45,830.87,826.02,828.87,000,828.87
2007-05-02,816.39,829.90,816.39,828.46,000,828.46
2007-05-01,815.38,816.94,807.69,816.25,000,816.25
2007-04-30,829.91,830.43,814.21,814.57,000,814.57
2007-04-27,832.55,832.57,826.92,829.70,000,829.70
2007-04-26,831.87,835.17,827.00,833.80,000,833.80
2007-04-25,828.30,834.89,826.29,832.07,000,832.07
2007-04-24,828.34,829.31,820.20,826.36,000,826.36
2007-04-23,827.91,830.73,825.35,827.55,000,827.55
2007-04-20,823.55,829.43,823.55,828.86,000,828.86
2007-04-19,823.82,823.82,815.90,819.32,000,819.32
2007-04-18,827.41,827.55,823.32,824.38,000,824.38
2007-04-17,831.06,831.71,826.04,828.96,000,828.96
2007-04-16,821.12,831.49,821.12,831.44,000,831.44
2007-04-13,815.02,819.38,811.78,819.38,000,819.38
2007-04-12,807.14,815.05,803.14,815.05,000,815.05
2007-04-11,814.82,814.93,804.60,808.24,000,808.24
2007-04-10,811.41,816.13,811.40,814.51,000,814.51
2007-04-09,813.84,814.31,809.92,811.64,000,811.64
2007-04-05,810.86,813.90,810.35,813.35,000,813.35
2007-04-04,811.58,811.83,807.78,810.79,000,810.79
2007-04-03,804.02,813.37,804.02,811.77,000,811.77
2007-04-02,801.77,803.22,798.17,803.22,000,803.22
2007-03-30,799.95,804.33,794.42,800.71,000,800.71
2007-03-29,800.07,803.09,791.42,798.94,000,798.94
2007-03-28,799.95,800.87,792.97,797.40,000,797.40
2007-03-27,808.88,808.88,800.62,802.36,000,802.36
2007-03-26,810.00,811.05,802.13,808.94,000,808.94
2007-03-23,807.85,810.38,807.37,809.51,000,809.51
2007-03-22,808.40,809.28,804.59,808.05,000,808.05
2007-03-21,794.25,808.56,792.74,807.47,000,807.47
2007-03-20,786.59,793.61,785.58,793.60,000,793.60
2007-03-19,780.92,789.29,780.92,787.05,000,787.05
2007-03-16,783.44,784.79,776.49,778.77,000,778.77
2007-03-15,775.69,783.61,775.69,783.61,000,783.61
2007-03-14,768.52,776.77,761.06,775.68,000,775.68
2007-03-13,786.41,786.41,767.99,769.12,000,769.12
2007-03-12,784.64,789.88,783.44,789.00,000,789.00
2007-03-09,784.20,787.49,780.07,785.12,000,785.12
2007-03-08,780.29,786.75,778.89,781.14,000,781.14
2007-03-07,778.75,781.13,773.71,775.90,000,775.90
2007-03-06,764.32,781.83,764.32,778.88,000,778.88
2007-03-05,771.91,777.37,760.06,760.06,000,760.06
2007-03-02,788.20,788.61,775.17,775.44,000,775.44
2007-03-01,787.62,795.94,773.88,791.03,000,791.03
2007-02-28,793.26,797.45,784.42,793.30,000,793.30
2007-02-27,817.66,817.66,790.49,792.66,000,792.66
2007-02-26,828.03,829.40,818.24,823.69,000,823.69
2007-02-23,828.80,828.84,823.11,826.64,000,826.64
2007-02-22,827.63,830.01,822.72,829.44,000,829.44
2007-02-21,824.33,827.33,821.82,827.33,000,827.33
2007-02-20,816.87,827.18,812.19,826.11,000,826.11
2007-02-16,815.63,818.46,810.18,818.15,000,818.15
2007-02-15,814.32,817.64,812.01,815.43,000,815.43
2007-02-14,812.60,818.07,811.73,813.99,000,813.99
2007-02-13,806.98,812.53,806.98,812.53,000,812.53
2007-02-12,808.02,808.31,802.41,805.79,000,805.79
2007-02-09,815.98,817.01,803.61,807.11,000,807.11
2007-02-08,815.05,816.90,812.39,816.39,000,816.39
2007-02-07,811.16,816.20,809.41,816.20,000,816.20
2007-02-06,807.20,810.41,804.30,810.41,000,810.41
2007-02-05,809.20,810.49,805.36,806.69,000,806.69
2007-02-02,807.95,810.35,806.77,809.42,000,809.42
2007-02-01,802.02,807.77,801.92,807.77,000,807.77
2007-01-31,797.03,803.46,793.23,800.34,000,800.34
2007-01-30,793.60,798.24,791.84,797.97,000,797.97
2007-01-29,787.37,795.13,787.20,793.10,000,793.10
2007-01-26,784.23,789.07,778.34,788.14,000,788.14
2007-01-25,793.92,794.64,782.09,784.19,000,784.19
2007-01-24,786.59,794.06,786.59,794.03,000,794.03
2007-01-23,777.59,788.69,776.82,785.38,000,785.38
2007-01-22,784.96,785.04,775.83,777.96,000,777.96
2007-01-19,778.13,785.45,775.17,785.16,000,785.16
2007-01-18,788.13,788.19,776.87,778.21,000,778.21
2007-01-17,789.81,793.57,788.54,788.77,000,788.77
2007-01-16,794.28,799.30,789.63,791.48,000,791.48
2007-01-12,788.11,794.27,787.87,794.26,000,794.26
2007-01-11,779.50,791.00,779.50,788.45,000,788.45
2007-01-10,775.78,779.45,773.14,778.87,000,778.87
2007-01-09,777.10,778.74,768.69,778.33,000,778.33
2007-01-08,776.20,778.83,769.27,776.99,000,776.99
2007-01-05,787.70,787.70,774.55,775.87,000,775.87
2007-01-04,786.42,791.83,779.70,789.95,000,789.95
2007-01-03,788.31,796.62,779.31,787.42,000,787.42
2006-12-29,794.44,795.96,786.84,787.66,000,787.66
2006-12-28,796.98,798.53,793.41,794.48,000,794.48
2006-12-27,788.16,797.79,788.16,797.73,000,797.73
2006-12-26,780.29,788.59,779.80,788.17,000,788.17
2006-12-22,783.23,783.50,778.12,780.82,000,780.82
2006-12-21,785.90,789.61,780.63,782.90,000,782.90
2006-12-20,782.71,788.82,782.71,785.56,000,785.56
2006-12-19,780.28,784.04,775.33,782.10,000,782.10
2006-12-18,793.69,795.40,780.64,782.02,000,782.02
2006-12-15,795.09,798.13,792.26,792.71,000,792.71
2006-12-14,789.31,798.62,789.31,794.22,000,794.22
2006-12-13,790.71,792.88,785.94,788.75,000,788.75
2006-12-12,793.23,793.72,784.64,788.41,000,788.41
2006-12-11,792.54,795.16,790.12,793.07,000,793.07
2006-12-08,791.50,796.35,786.55,792.56,000,792.56
2006-12-07,796.53,798.45,791.18,792.29,000,792.29
2006-12-06,796.47,798.36,792.51,795.94,000,795.94
2006-12-05,797.16,801.01,795.16,797.42,000,797.42
2006-12-04,781.91,796.56,781.91,795.85,000,795.85
2006-12-01,785.71,787.11,773.06,781.17,000,781.17
2006-11-30,784.04,789.58,779.99,786.12,000,786.12
2006-11-29,776.86,785.04,776.86,784.16,000,784.16
2006-11-28,771.21,775.13,767.81,774.82,000,774.82
2006-11-27,790.79,790.79,771.78,772.11,000,772.11
2006-11-24,792.03,794.25,787.18,792.28,000,792.28
2006-11-22,792.75,795.17,790.58,792.91,000,792.91
2006-11-21,790.55,792.45,788.04,792.17,000,792.17
2006-11-20,788.47,792.43,786.40,790.62,000,790.62
2006-11-17,790.74,790.74,783.47,788.47,000,788.47
2006-11-16,791.91,793.64,788.81,790.75,000,790.75
2006-11-15,785.03,794.18,784.76,791.96,000,791.96
2006-11-14,772.38,785.17,769.27,785.06,000,785.06
2006-11-13,769.10,773.73,767.34,772.41,000,772.41
2006-11-10,762.06,769.15,761.33,769.15,000,769.15
2006-11-09,769.84,771.07,758.37,762.06,000,762.06
2006-11-08,764.33,771.80,760.68,769.84,000,769.84
2006-11-07,763.08,772.22,762.60,764.39,000,764.39
2006-11-06,752.72,764.85,752.72,763.08,000,763.08
2006-11-03,750.12,755.69,747.08,752.73,000,752.73
2006-11-02,752.12,753.23,746.29,750.12,000,750.12
2006-11-01,766.82,769.89,751.61,752.15,000,752.15
2006-10-31,770.36,772.09,762.48,766.84,000,766.84
2006-10-30,765.80,771.46,760.70,770.36,000,770.36
2006-10-27,775.93,775.93,764.83,765.84,000,765.84
2006-10-26,767.14,776.04,764.23,776.04,000,776.04
2006-10-25,762.42,768.79,760.28,767.15,000,767.15
2006-10-24,763.52,763.70,758.86,762.43,000,762.43
2006-10-23,762.13,767.05,756.27,763.52,000,763.52
2006-10-20,767.39,768.32,760.24,762.13,000,762.13
2006-10-19,763.41,768.39,760.77,767.39,000,767.39
2006-10-18,764.88,771.82,761.46,763.40,000,763.40
2006-10-17,769.48,769.48,758.81,764.91,000,764.91
2006-10-16,762.64,769.86,762.54,769.48,000,769.48
2006-10-13,757.09,763.37,756.12,762.65,000,762.65
2006-10-12,741.70,757.15,741.70,757.09,000,757.09
2006-10-11,745.84,747.26,736.50,741.71,000,741.71
2006-10-10,744.57,747.84,741.97,745.88,000,745.88
2006-10-09,739.81,745.69,736.16,744.57,000,744.57
2006-10-06,743.08,743.09,735.26,739.81,000,739.81
2006-10-05,733.41,743.38,733.18,743.08,000,743.08
2006-10-04,718.31,733.62,716.87,733.48,000,733.48
2006-10-03,718.80,722.52,712.17,718.35,000,718.35
2006-10-02,725.59,726.95,716.63,718.81,000,718.81
2006-09-29,732.56,734.02,725.30,725.59,000,725.59
2006-09-28,732.48,736.76,727.89,732.56,000,732.56
2006-09-27,729.32,733.94,727.77,732.54,000,732.54
2006-09-26,727.08,732.05,725.59,729.61,000,729.61
2006-09-25,718.62,728.80,714.70,727.09,000,727.09
2006-09-22,727.13,727.13,714.08,718.63,000,718.63
2006-09-21,734.46,738.16,724.46,727.13,000,727.13
2006-09-20,725.42,737.28,725.42,734.48,000,734.48
2006-09-19,728.84,729.08,715.27,725.12,000,725.12
2006-09-18,729.33,733.15,725.88,728.84,000,728.84
2006-09-15,727.60,732.22,725.48,729.46,000,729.46
2006-09-14,730.70,730.70,723.66,727.60,000,727.60
2006-09-13,724.37,731.30,723.92,730.70,000,730.70
2006-09-12,707.56,725.63,707.56,724.48,000,724.48
2006-09-11,708.52,711.13,700.44,707.57,000,707.57
2006-09-08,706.47,709.51,705.40,708.54,000,708.54
2006-09-07,712.02,713.88,704.51,706.47,000,706.47
2006-09-06,727.46,727.46,712.03,712.04,000,712.04
2006-09-05,721.56,727.86,721.03,727.51,000,727.51
2006-09-01,720.52,724.79,718.71,721.56,000,721.56
2006-08-31,720.57,725.04,720.23,720.53,000,720.53
2006-08-30,714.74,721.97,713.77,720.58,000,720.58
2006-08-29,706.61,715.18,702.80,714.85,000,714.85
2006-08-28,699.24,707.80,699.14,706.65,000,706.65
2006-08-25,698.71,703.80,696.41,699.24,000,699.24
2006-08-24,698.41,701.57,693.19,698.72,000,698.72
2006-08-23,707.75,711.09,696.63,698.42,000,698.42
2006-08-22,705.33,709.25,703.45,707.76,000,707.76
2006-08-21,711.68,711.68,702.59,705.33,000,705.33
2006-08-18,710.77,712.38,704.40,711.68,000,711.68
2006-08-17,707.36,713.86,705.38,710.78,000,710.78
2006-08-16,697.81,708.23,697.81,707.39,000,707.39
2006-08-15,681.72,697.85,681.72,697.83,000,697.83
2006-08-14,679.01,691.17,679.01,681.73,000,681.73
2006-08-11,686.22,686.22,676.40,679.04,000,679.04
2006-08-10,681.00,688.96,674.75,686.27,000,686.27
2006-08-09,687.43,695.19,680.27,681.05,000,681.05
2006-08-08,696.03,700.92,686.42,687.47,000,687.47
2006-08-07,701.25,701.25,691.95,696.05,000,696.05
2006-08-04,704.37,716.05,694.19,701.26,000,701.26
2006-08-03,696.79,706.36,690.20,704.38,000,704.38
2006-08-02,689.87,700.54,689.87,696.81,000,696.81
