Date,Open,High,Low,Close,Volume,Adj Close
2007-10-05,1543.84,1561.91,1543.84,1557.59,2919030000,1557.59
2007-10-04,1539.91,1544.02,1537.63,1542.84,2690430000,1542.84
2007-10-03,1545.80,1545.84,1536.34,1539.59,3065320000,1539.59
2007-10-02,1546.96,1548.01,1540.37,1546.63,3101910000,1546.63
2007-10-01,1527.29,1549.02,1527.25,1547.04,3281990000,1547.04
2007-09-28,1531.24,1533.74,1521.99,1526.75,2925350000,1526.75
2007-09-27,1527.32,1532.46,1525.81,1531.38,2872180000,1531.38
2007-09-26,1518.62,1529.39,1518.62,1525.42,3237390000,1525.42
2007-09-25,1516.34,1518.27,1507.13,1517.21,3187770000,1517.21
2007-09-24,1525.75,1530.18,1516.15,1517.73,3131310000,1517.73
2007-09-21,1518.75,1530.89,1518.75,1525.75,3679460000,1525.75
2007-09-20,1528.69,1529.14,1516.42,1518.75,2957700000,1518.75
2007-09-19,1519.75,1538.74,1519.75,1529.03,3846750000,1529.03
2007-09-18,1476.63,1519.89,1476.63,1519.78,3708940000,1519.78
2007-09-17,1484.24,1484.24,1471.82,1476.65,2598390000,1476.65
2007-09-14,1483.95,1485.99,1473.18,1484.25,2641740000,1484.25
2007-09-13,1471.47,1489.58,1471.47,1483.95,2877080000,1483.95
2007-09-12,1471.10,1479.50,1465.75,1471.56,2885720000,1471.56
2007-09-11,1451.69,1472.48,1451.69,1471.49,3015330000,1471.49
2007-09-10,1453.50,1462.25,1439.29,1451.70,2835720000,1451.70
2007-09-07,1478.55,1478.55,1449.07,1453.55,3191080000,1453.55
2007-09-06,1472.03,1481.49,1467.41,1478.55,2459590000,1478.55
2007-09-05,1488.76,1488.76,1466.34,1472.29,2991600000,1472.29
2007-09-04,1473.96,1496.40,1472.15,1489.42,2766600000,1489.42
2007-08-31,1457.61,1481.47,1457.61,1473.99,2731610000,1473.99
2007-08-30,1463.67,1468.43,1451.25,1457.64,2582960000,1457.64
2007-08-29,1432.01,1463.76,1432.01,1463.76,2824070000,1463.76
2007-08-28,1466.72,1466.72,1432.01,1432.36,3078090000,1432.36
2007-08-27,1479.36,1479.36,1465.98,1466.79,2406180000,1466.79
2007-08-24,1462.34,1479.40,1460.54,1479.37,2541400000,1479.37
2007-08-23,1464.05,1472.06,1453.88,1462.50,3084390000,1462.50
2007-08-22,1447.03,1464.86,1447.03,1464.07,3309120000,1464.07
2007-08-21,1445.55,1455.32,1439.76,1447.12,3012150000,1447.12
2007-08-20,1445.94,1451.75,1430.54,1445.55,3321340000,1445.55
2007-08-17,1411.26,1450.33,1411.26,1445.94,3570040000,1445.94
2007-08-16,1406.64,1415.97,1370.60,1411.27,6509300000,1411.27
2007-08-15,1426.15,1440.78,1404.36,1406.70,4290930000,1406.70
2007-08-14,1452.87,1456.74,1426.20,1426.54,3814630000,1426.54
2007-08-13,1453.42,1466.29,1451.54,1452.92,3696280000,1452.92
2007-08-10,1453.09,1462.02,1429.74,1453.64,5345780000,1453.64
2007-08-09,1497.21,1497.21,1453.09,1453.09,5889600000,1453.09
2007-08-08,1476.22,1503.89,1476.22,1497.49,5499560000,1497.49
2007-08-07,1467.62,1488.30,1455.80,1476.71,4909390000,1476.71
2007-08-06,1433.04,1467.67,1427.39,1467.67,5067200000,1467.67
2007-08-03,1472.18,1473.23,1432.80,1433.06,4272110000,1433.06
2007-08-02,1465.46,1476.43,1460.58,1472.20,4368850000,1472.20
2007-08-01,1455.18,1468.38,1439.59,1465.81,5256780000,1465.81
2007-07-31,1473.90,1488.30,1454.25,1455.27,4524520000,1455.27
2007-07-30,1458.93,1477.88,1454.32,1473.91,4128780000,1473.91
2007-07-27,1482.44,1488.53,1458.95,1458.95,4784650000,1458.95
2007-07-26,1518.09,1518.09,1465.30,1482.66,4472550000,1482.66
2007-07-25,1511.03,1524.31,1503.73,1518.09,4283200000,1518.09
2007-07-24,1541.57,1541.57,1508.62,1511.04,4115830000,1511.04
2007-07-23,1534.06,1547.23,1534.06,1541.57,3102700000,1541.57
2007-07-20,1553.19,1553.19,1529.20,1534.10,3745780000,1534.10
2007-07-19,1546.13,1555.20,1546.13,1553.08,3251450000,1553.08
2007-07-18,1549.20,1549.20,1533.67,1546.17,3609220000,1546.17
2007-07-17,1549.52,1555.32,1547.74,1549.37,3007140000,1549.37
2007-07-16,1552.50,1555.90,1546.69,1549.52,2704110000,1549.52
2007-07-13,1547.68,1555.10,1544.85,1552.50,2801120000,1552.50
2007-07-12,1518.74,1547.92,1518.74,1547.70,3489600000,1547.70
2007-07-11,1509.93,1519.34,1506.10,1518.76,3082920000,1518.76
2007-07-10,1531.85,1531.85,1510.01,1510.12,3244280000,1510.12
2007-07-09,1530.43,1534.26,1527.45,1531.85,2715330000,1531.85
2007-07-06,1524.96,1532.40,1520.47,1530.44,2441520000,1530.44
2007-07-05,1524.86,1526.57,1517.72,1525.40,2622950000,1525.40
2007-07-03,1519.12,1526.01,1519.12,1524.87,1560790000,1524.87
2007-07-02,1504.66,1519.45,1504.66,1519.43,2644990000,1519.43
2007-06-29,1505.70,1517.53,1493.61,1503.35,3165410000,1503.35
2007-06-28,1506.32,1514.84,1503.41,1505.71,3006710000,1505.71
2007-06-27,1492.62,1506.80,1484.18,1506.34,3398150000,1506.34
2007-06-26,1497.68,1506.12,1490.54,1492.89,3398530000,1492.89
2007-06-25,1502.56,1514.29,1492.68,1497.74,3287250000,1497.74
2007-06-22,1522.19,1522.19,1500.74,1502.56,4284320000,1502.56
2007-06-21,1512.50,1522.90,1504.75,1522.19,3161110000,1522.19
2007-06-20,1533.68,1537.32,1512.36,1512.84,3286900000,1512.84
2007-06-19,1531.02,1535.85,1525.67,1533.70,2873590000,1533.70
2007-06-18,1532.90,1535.44,1529.31,1531.05,2480240000,1531.05
2007-06-15,1522.97,1538.71,1522.97,1532.91,3406030000,1532.91
2007-06-14,1515.58,1526.45,1515.58,1522.97,2813630000,1522.97
2007-06-13,1492.65,1515.70,1492.65,1515.67,3077930000,1515.67
2007-06-12,1509.12,1511.33,1492.97,1493.00,3056200000,1493.00
2007-06-11,1507.64,1515.53,1503.35,1509.12,2525280000,1509.12
2007-06-08,1490.71,1507.76,1487.41,1507.67,2993460000,1507.67
2007-06-07,1517.36,1517.36,1490.37,1490.72,3538470000,1490.72
2007-06-06,1530.57,1530.57,1514.13,1517.38,2964190000,1517.38
2007-06-05,1539.12,1539.12,1525.62,1530.95,2939450000,1530.95
2007-06-04,1536.28,1540.53,1532.31,1539.18,2738930000,1539.18
2007-06-01,1530.62,1540.56,1530.62,1536.34,2927020000,1536.34
2007-05-31,1530.19,1535.56,1528.26,1530.62,3335530000,1530.62
2007-05-30,1517.60,1530.23,1510.06,1530.23,2980210000,1530.23
2007-05-29,1515.55,1521.80,1512.02,1518.11,2571790000,1518.11
2007-05-25,1507.50,1517.41,1507.50,1515.73,2316250000,1515.73
2007-05-24,1522.10,1529.31,1505.18,1507.51,3365530000,1507.51
2007-05-23,1524.09,1532.43,1521.90,1522.28,3084260000,1522.28
2007-05-22,1525.10,1529.24,1522.05,1524.12,2860500000,1524.12
2007-05-21,1522.75,1529.87,1522.71,1525.10,3465360000,1525.10
2007-05-18,1512.74,1522.75,1512.74,1522.75,2959050000,1522.75
2007-05-17,1514.01,1517.14,1509.29,1512.75,2868640000,1512.75
2007-05-16,1500.75,1514.15,1500.75,1514.14,2915350000,1514.14
2007-05-15,1503.11,1514.83,1500.43,1501.19,3071020000,1501.19
2007-05-14,1505.76,1510.90,1498.34,1503.15,2776130000,1503.15
2007-05-11,1491.47,1506.24,1491.47,1505.85,2720780000,1505.85
2007-05-10,1512.33,1512.33,1491.42,1491.47,3031240000,1491.47
2007-05-09,1507.32,1513.80,1503.77,1512.58,2935550000,1512.58
2007-05-08,1509.36,1509.36,1500.66,1507.72,2795720000,1507.72
2007-05-07,1505.57,1511.00,1505.54,1509.48,2545090000,1509.48
2007-05-04,1502.35,1510.34,1501.80,1505.62,2761930000,1505.62
2007-05-03,1495.56,1503.34,1495.56,1502.39,3007970000,1502.39
2007-05-02,1486.13,1499.10,1486.13,1495.92,3189800000,1495.92
2007-05-01,1482.37,1487.27,1476.70,1486.30,3400350000,1486.30
2007-04-30,1494.07,1497.16,1482.29,1482.37,3093420000,1482.37
2007-04-27,1494.21,1497.32,1488.67,1494.07,2732810000,1494.07
2007-04-26,1495.27,1498.02,1491.17,1494.25,3211800000,1494.25
2007-04-25,1480.28,1496.59,1480.28,1495.42,3252590000,1495.42
2007-04-24,1480.93,1483.82,1473.74,1480.41,3119750000,1480.41
2007-04-23,1484.33,1487.32,1480.19,1480.93,2575020000,1480.93
2007-04-20,1470.69,1484.74,1470.69,1484.35,3329940000,1484.35
2007-04-19,1472.48,1474.23,1464.47,1470.73,2913610000,1470.73
2007-04-18,1471.47,1476.57,1466.41,1472.50,2971330000,1472.50
2007-04-17,1468.47,1474.35,1467.15,1471.48,2920570000,1471.48
2007-04-16,1452.84,1468.62,1452.84,1468.33,2870140000,1468.33
2007-04-13,1447.80,1453.11,1444.15,1452.85,2690020000,1452.85
2007-04-12,1438.87,1448.02,1433.91,1447.80,2770570000,1447.80
2007-04-11,1448.23,1448.39,1436.15,1438.87,2950190000,1438.87
2007-04-10,1444.58,1448.73,1443.99,1448.39,2510110000,1448.39
2007-04-09,1443.77,1448.10,1443.28,1444.61,2349410000,1444.61
2007-04-05,1438.94,1444.88,1436.67,1443.76,2357230000,1443.76
2007-04-04,1437.75,1440.16,1435.08,1439.37,2616320000,1439.37
2007-04-03,1424.27,1440.57,1424.27,1437.77,2921760000,1437.77
2007-04-02,1420.83,1425.49,1416.37,1424.55,2875880000,1424.55
2007-03-30,1422.52,1429.22,1408.90,1420.86,2903960000,1420.86
2007-03-29,1417.17,1426.24,1413.27,1422.53,2854710000,1422.53
2007-03-28,1428.35,1428.35,1414.07,1417.23,3000440000,1417.23
2007-03-27,1437.49,1437.49,1425.54,1428.61,2673040000,1428.61
2007-03-26,1436.11,1437.65,1423.28,1437.50,2754660000,1437.50
2007-03-23,1434.54,1438.89,1433.21,1436.11,2619020000,1436.11
2007-03-22,1435.04,1437.66,1429.88,1434.54,3129970000,1434.54
2007-03-21,1410.92,1437.77,1409.75,1435.04,3184770000,1435.04
2007-03-20,1402.04,1411.53,1400.70,1410.94,2795940000,1410.94
2007-03-19,1386.95,1403.20,1386.95,1402.06,2777180000,1402.06
2007-03-16,1392.28,1397.51,1383.63,1386.95,3393640000,1386.95
2007-03-15,1387.11,1395.73,1385.16,1392.28,2821900000,1392.28
2007-03-14,1377.86,1388.09,1363.98,1387.17,3758350000,1387.17
2007-03-13,1406.23,1406.23,1377.71,1377.95,3485570000,1377.95
2007-03-12,1402.80,1409.34,1398.40,1406.60,2664000000,1406.60
2007-03-09,1401.89,1410.15,1397.30,1402.84,2623050000,1402.84
2007-03-08,1391.88,1407.93,1391.88,1401.89,3014850000,1401.89
2007-03-07,1395.02,1401.16,1390.64,1391.97,3141350000,1391.97
2007-03-06,1374.06,1397.90,1374.06,1395.41,3358160000,1395.41
2007-03-05,1387.11,1391.86,1373.97,1374.12,3480520000,1374.12
2007-03-02,1403.16,1403.40,1386.87,1387.17,3312260000,1387.17
2007-03-01,1406.80,1409.46,1380.87,1403.17,3874910000,1403.17
2007-02-28,1398.64,1415.89,1396.65,1406.82,3925250000,1406.82
2007-02-27,1449.25,1449.25,1389.42,1399.04,4065230000,1399.04
2007-02-26,1451.04,1456.95,1445.48,1449.37,2822170000,1449.37
2007-02-23,1456.22,1456.22,1448.36,1451.19,2579950000,1451.19
2007-02-22,1457.29,1461.57,1450.51,1456.38,1950770000,1456.38
2007-02-21,1459.60,1459.60,1452.02,1457.63,2606980000,1457.63
2007-02-20,1455.53,1460.53,1449.20,1459.68,2337860000,1459.68
2007-02-16,1456.77,1456.77,1451.57,1455.54,2399450000,1455.54
2007-02-15,1455.15,1457.97,1453.19,1456.81,2490920000,1456.81
2007-02-14,1443.91,1457.65,1443.91,1455.30,2699290000,1455.30
2007-02-13,1433.22,1444.41,1433.22,1444.26,2652150000,1444.26
2007-02-12,1438.00,1439.11,1431.44,1433.37,2395680000,1433.37
