Date,Open,High,Low,Close,Volume,Adj Close
2007-09-05,25.11,27.90,25.11,27.15,000,27.15
2007-09-04,25.45,25.45,23.88,24.51,000,24.51
2007-08-31,24.29,24.69,24.13,24.53,000,24.53
2007-08-30,24.52,25.85,24.11,25.38,000,25.38
2007-08-29,25.28,25.41,23.51,23.61,000,23.61
2007-08-28,23.18,26.17,23.16,25.90,000,25.90
2007-08-27,21.77,22.71,21.65,22.63,000,22.63
2007-08-24,22.26,22.46,20.43,20.69,000,20.69
2007-08-23,21.28,23.00,21.28,22.03,000,22.03
2007-08-22,22.55,23.04,21.81,22.00,000,22.00
2007-08-21,25.36,25.46,23.15,23.67,000,23.67
2007-08-20,27.33,27.52,24.81,25.20,000,25.20
2007-08-17,27.48,30.87,24.64,27.04,000,27.04
2007-08-16,29.46,34.75,28.44,29.03,000,29.03
2007-08-15,25.40,28.21,24.22,27.97,000,27.97
2007-08-14,24.08,25.72,23.56,24.97,000,24.97
2007-08-13,26.37,26.63,24.07,24.57,000,24.57
2007-08-10,27.43,29.21,26.02,26.84,000,26.84
2007-08-09,23.00,26.41,22.60,26.23,000,26.23
2007-08-08,20.54,22.20,19.17,20.97,000,20.97
2007-08-07,22.80,24.24,20.80,21.08,000,21.08
2007-08-06,24.88,26.31,22.36,22.43,000,22.43
2007-08-03,21.49,25.00,21.25,24.42,000,24.42
2007-08-02,23.48,23.49,21.23,21.24,000,21.24
2007-08-01,24.23,26.02,23.50,23.78,000,23.78
2007-07-31,20.30,23.95,19.99,23.55,000,23.55
2007-07-30,22.78,22.78,20.70,20.76,000,20.76
2007-07-27,19.64,23.18,19.16,23.18,000,23.18
2007-07-26,19.91,22.66,19.50,19.50,000,19.50
2007-07-25,18.98,19.88,18.47,18.92,000,18.92
2007-07-24,18.68,19.93,18.39,19.31,000,19.31
2007-07-23,18.09,18.26,17.49,17.85,000,17.85
2007-07-20,16.61,17.80,16.51,17.49,000,17.49
2007-07-19,16.54,16.66,16.04,16.55,000,16.55
2007-07-18,17.57,18.26,16.76,16.77,000,16.77
2007-07-17,16.59,17.00,16.36,16.95,000,16.95
2007-07-16,16.82,16.84,16.30,16.55,000,16.55
2007-07-13,17.05,17.12,16.18,16.44,000,16.44
2007-07-12,17.41,17.41,16.43,17.25,000,17.25
2007-07-11,18.81,18.93,17.54,17.54,000,17.54
2007-07-10,17.68,18.63,17.50,18.61,000,18.61
2007-07-09,17.12,17.37,16.94,17.08,000,17.08
2007-07-06,16.84,16.99,16.42,16.52,000,16.52
2007-07-05,17.06,17.59,16.94,17.09,000,17.09
2007-07-03,16.83,16.88,16.65,16.70,000,16.70
2007-07-02,18.12,18.12,16.94,17.00,000,17.00
2007-06-29,16.53,18.33,16.16,17.86,000,17.86
2007-06-28,17.56,17.57,16.54,16.91,000,16.91
2007-06-27,19.78,19.98,17.30,17.36,000,17.36
2007-06-26,17.82,19.59,17.77,19.59,000,19.59
2007-06-25,18.07,18.55,17.16,18.07,000,18.07
2007-06-22,16.55,17.69,16.50,17.29,000,17.29
2007-06-21,16.82,17.23,16.21,16.21,000,16.21
2007-06-20,15.43,16.73,15.34,16.68,000,16.68
2007-06-19,16.32,16.32,15.25,15.53,000,15.53
