Date,Open,High,Low,Close,Volume,Adj Close
2007-08-17,28.60,32.32,28.24,29.43,000,29.43
2007-08-16,32.53,37.69,30.60,30.77,000,30.77
2007-08-15,29.16,32.35,26.70,32.21,000,32.21
2007-08-14,25.72,28.47,25.59,28.24,000,28.24
2007-08-13,27.51,27.60,24.90,26.55,000,26.55
2007-08-10,32.62,32.62,28.32,29.08,000,29.08
2007-08-09,26.35,28.26,24.52,27.95,000,27.95
2007-08-08,20.55,23.12,18.88,21.73,000,21.73
2007-08-07,22.76,24.30,19.86,21.33,000,21.33
2007-08-06,26.09,27.25,21.25,21.51,000,21.51
2007-08-03,22.18,26.48,21.75,26.42,000,26.42
2007-08-02,23.17,23.54,21.16,21.68,000,21.68
2007-08-01,25.58,27.25,23.67,24.05,000,24.05
2007-07-31,20.59,25.18,19.86,25.18,000,25.18
2007-07-30,25.13,25.13,21.17,21.39,000,21.39
2007-07-27,22.43,25.21,20.95,25.09,000,25.09
2007-07-26,21.05,24.90,20.47,21.77,000,21.77
2007-07-25,17.78,19.89,16.62,18.27,000,18.27
2007-07-24,18.25,19.53,16.21,19.03,000,19.03
2007-07-23,16.89,17.19,15.90,16.55,000,16.55
2007-07-20,15.64,18.24,15.50,17.33,000,17.33
2007-07-19,15.11,15.74,14.86,15.08,000,15.08
2007-07-18,16.18,17.10,15.75,15.84,000,15.84
2007-07-17,15.41,15.68,15.20,15.47,000,15.47
2007-07-16,15.33,15.77,14.98,15.35,000,15.35
2007-07-13,15.43,15.52,14.65,15.05,000,15.05
2007-07-12,15.59,15.67,14.63,14.87,000,14.87
2007-07-11,17.71,18.38,16.51,16.56,000,16.56
2007-07-10,15.62,17.25,15.28,17.22,000,17.22
2007-07-09,14.51,14.91,14.04,14.38,000,14.38
2007-07-06,15.11,15.18,13.97,14.31,000,14.31
2007-07-05,15.05,15.72,14.58,14.73,000,14.73
2007-07-03,14.72,14.72,13.91,13.95,000,13.95
2007-07-02,15.68,15.85,14.72,14.78,000,14.78
2007-06-29,15.30,17.47,14.76,16.69,000,16.69
2007-06-28,16.09,16.10,14.99,15.61,000,15.61
2007-06-27,19.00,19.28,15.41,15.52,000,15.52
2007-06-26,16.64,18.26,16.43,18.23,000,18.23
2007-06-25,17.01,17.37,15.33,17.10,000,17.10
2007-06-22,15.04,17.05,14.90,16.97,000,16.97
2007-06-21,15.37,15.73,14.36,14.36,000,14.36
2007-06-20,12.81,14.72,12.57,14.72,000,14.72
2007-06-19,13.28,13.54,12.44,12.74,000,12.74
2007-06-18,13.39,14.12,12.97,13.14,000,13.14
2007-06-15,13.29,13.87,12.43,13.20,000,13.20
2007-06-14,14.42,14.44,13.45,13.69,000,13.69
2007-06-13,16.10,16.26,14.57,15.25,000,15.25
2007-06-12,15.34,16.28,14.47,16.01,000,16.01
2007-06-11,14.97,15.51,14.07,14.61,000,14.61
2007-06-08,17.60,17.60,14.68,14.73,000,14.73
2007-06-07,15.42,17.49,15.17,17.01,000,17.01
2007-06-06,14.05,15.24,14.03,14.58,000,14.58
2007-06-05,13.36,13.79,12.91,13.12,000,13.12
2007-06-04,13.00,13.10,12.56,12.73,000,12.73
2007-06-01,12.52,12.89,12.16,12.51,000,12.51
2007-05-31,12.36,13.07,12.33,12.76,000,12.76
2007-05-30,13.89,13.98,12.27,12.33,000,12.33
2007-05-29,13.29,13.63,12.82,12.99,000,12.99
2007-05-25,13.77,13.80,12.80,12.86,000,12.86
2007-05-24,13.02,14.13,12.49,13.81,000,13.81
2007-05-23,12.33,12.89,11.78,12.79,000,12.79
2007-05-22,12.79,13.04,11.90,12.40,000,12.40
2007-05-21,12.53,12.67,11.78,12.41,000,12.41
2007-05-18,13.43,13.48,12.34,12.34,000,12.34
2007-05-17,13.77,13.98,13.24,13.37,000,13.37
